tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-339,Brisbane,Hard,32,A,20110102,1,SA49,1,,Robin Soderling,R,193,SWE,26.387,5,5580,H940,,Q,Ryan Harrison,R,183,USA,18.658,173,309,6-2 6-4,3,R32,66,8,3,52,32,26,13,9,1,1,4,1,50,27,16,12,9,1,4
2011-339,Brisbane,Hard,32,A,20110102,2,B678,,,Michael Berrer,L,193,GER,30.508,58,835,SC56,,,Dudi Sela,R,175,ISR,25.749,75,643,1-6 7-6(3) 6-2,3,R32,152,9,3,99,54,34,28,13,8,10,16,4,103,59,42,20,14,3,5
2011-339,Brisbane,Hard,32,A,20110102,3,E690,,Q,Matthew Ebden,R,188,AUS,23.105,196,263,MH30,,WC,John Millman,R,183,AUS,21.555,204,243,4-6 6-2 6-4,3,R32,104,12,1,85,63,46,9,14,1,3,4,3,76,58,42,6,14,4,8
2011-339,Brisbane,Hard,32,A,20110102,4,I165,8,,Denis Istomin,R,188,UZB,24.323,40,1031,D776,,,Thiemo de Bakker,R,193,NED,22.289,43,975,7-6(5) 6-4,3,R32,93,6,1,63,43,33,16,11,2,2,10,1,72,43,31,17,11,2,3
2011-339,Brisbane,Hard,32,A,20110102,5,F339,4,,Mardy Fish,R,188,USA,29.068,16,1991,ME82,,Q,Adrian Mannarino,L,183,FRA,22.513,83,600,6-1 6-4,3,R32,79,11,0,51,28,23,16,9,1,1,1,6,68,37,24,11,8,3,6
2011-339,Brisbane,Hard,32,A,20110102,6,S694,,,Radek Stepanek,R,185,CZE,32.101,62,795,K839,,,Tobias Kamke,R,180,GER,24.621,67,724,5-7 6-1 6-4,3,R32,124,7,3,80,47,37,16,15,2,5,4,7,87,50,33,19,14,5,10
2011-339,Brisbane,Hard,32,A,20110102,7,BE90,,Q,Ricardas Berankis,R,175,LTU,20.537,87,587,C487,,,Arnaud Clement,R,173,FRA,33.046,78,627,6-4 6-3,3,R32,86,8,2,55,30,24,13,9,1,2,6,3,64,37,26,11,10,5,9
2011-339,Brisbane,Hard,32,A,20110102,8,MB02,7,,Florian Mayer,R,190,GER,27.247,37,1128,TA46,,WC,Bernard Tomic,R,193,AUS,18.201,208,239,6-2 6-2,3,R32,55,12,0,35,25,23,9,8,0,0,5,0,58,34,22,6,8,1,5
2011-339,Brisbane,Hard,32,A,20110102,9,L397,6,,Feliciano Lopez,L,188,ESP,29.287,32,1300,P624,,,Philipp Petzschner,R,185,GER,26.779,57,839,6-4 7-6(11),3,R32,100,11,7,77,39,33,21,11,4,5,9,5,68,30,25,22,11,0,2
2011-339,Brisbane,Hard,32,A,20110102,10,A678,,,Kevin Anderson,R,203,RSA,24.63,61,813,L515,,LL,Peter Luczak,R,183,AUS,31.343,137,400,6-4 6-4,3,R32,72,18,0,44,33,31,9,10,0,0,4,2,58,41,28,10,10,1,3
