tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-339,Brisbane,Hard,32,A,20120101,1,MC10,1,,Andy Murray,R,190,GBR,24.635,4,7380,K926,,,Mikhail Kukushkin,R,183,KAZ,24.019,91,598,5-7 6-3 6-2,3,R32,130,10,0,92,57,41,17,15,4,7,4,3,77,41,29,15,14,4,9
2012-339,Brisbane,Hard,32,A,20120101,2,MA30,,,Gilles Muller,L,193,LUX,28.652,54,893,M708,,,Ricardo Mello,L,175,BRA,31.031,85,630,6-7(3) 7-6(4) 6-3,3,R32,136,23,1,104,55,47,31,17,3,3,3,5,103,67,54,20,16,1,2
2012-339,Brisbane,Hard,32,A,20120101,3,B837,,,Marcos Baghdatis,R,183,CYP,26.543,44,940,H940,,,Ryan Harrison,R,183,USA,19.655,79,658,7-6(7) 6-4,3,R32,101,8,3,71,31,26,26,11,5,6,14,1,79,48,36,17,11,2,4
2012-339,Brisbane,Hard,32,A,20120101,4,N552,5,,Kei Nishikori,R,178,JPN,22.01,25,1430,SK94,,,Cedrik-Marcel Stebe,L,183,GER,21.232,81,652,3-6 6-1 6-4,3,R32,130,1,2,75,49,31,16,13,3,6,4,2,90,49,27,23,13,9,14
2012-339,Brisbane,Hard,32,A,20120101,5,I165,,,Denis Istomin,R,188,UZB,25.32,73,685,MB02,4,,Florian Mayer,R,190,GER,28.244,23,1630,7-6(5) 2-3 RET,3,R32,69,10,1,56,28,23,18,8,2,2,2,1,55,38,28,11,9,0,0
2012-339,Brisbane,Hard,32,A,20120101,6,H355,,,Tommy Haas,R,188,GER,33.749,205,237,ME05,,WC,Marinko Matosevic,R,194,AUS,26.401,203,240,6-3 7-5,3,R32,99,4,2,66,40,32,14,11,6,7,4,2,77,45,28,15,10,10,13
2012-339,Brisbane,Hard,32,A,20120101,7,I230,,Q,Tatsuma Ito,R,180,JPN,23.625,122,474,MK40,,WC,Benjamin Mitchell,R,,AUS,19.088,227,214,6-4 6-2,3,R32,70,6,0,52,30,24,15,9,2,2,11,6,68,44,30,7,9,8,11
2012-339,Brisbane,Hard,32,A,20120101,8,TA46,8,,Bernard Tomic,R,193,AUS,19.198,42,970,B747,,,Julien Benneteau,R,185,FRA,30.034,52,900,6-2 4-6 7-5,3,R32,147,7,2,92,53,36,23,15,4,7,14,12,121,71,48,19,15,16,21
2012-339,Brisbane,Hard,32,A,20120101,9,S694,6,,Radek Stepanek,R,185,CZE,33.098,28,1275,E690,,,Matthew Ebden,R,188,AUS,24.101,86,627,6-4 3-6 6-3,3,R32,132,8,4,91,51,38,22,14,3,4,5,3,99,64,43,19,14,10,12
2012-339,Brisbane,Hard,32,A,20120101,10,N289,,,Jarkko Nieminen,L,185,FIN,30.445,77,666,L799,,Q,Jesse Levine,L,175,CAN,24.216,164,308,7-6(4) 6-2,3,R32,101,3,0,71,53,32,10,10,6,9,3,6,90,63,36,10,10,9,14
2012-339,Brisbane,Hard,32,A,20120101,11,A511,,Q,Igor Andreev,R,185,RUS,28.471,115,494,ME82,,,Adrian Mannarino,L,183,FRA,23.51,87,623,7-6(6) 6-2,3,R32,86,7,3,70,41,33,16,10,2,3,3,3,60,35,24,13,10,3,6
2012-339,Brisbane,Hard,32,A,20120101,12,D801,3,,Alexandr Dolgopolov,R,180,UKR,23.151,15,1925,F444,,,Alejandro Falla,L,185,COL,28.134,74,671,7-6(3) 6-2,3,R32,81,5,0,75,37,26,16,10,4,7,0,3,58,33,16,12,10,4,9
2012-339,Brisbane,Hard,32,A,20120101,13,P624,,,Philipp Petzschner,R,185,GER,27.775,63,780,M762,7,,Jurgen Melzer,L,183,AUT,30.615,33,1170,6-1 7-5,3,R32,66,8,1,61,37,31,13,10,2,2,5,2,54,34,21,9,9,0,3
2012-339,Brisbane,Hard,32,A,20120101,14,G725,,,Santiago Giraldo,R,188,COL,24.099,55,890,MH30,,Q,John Millman,R,183,AUS,22.552,541,51,6-3 6-3,3,R32,60,5,0,54,36,30,9,9,2,2,4,1,46,28,18,9,9,1,4
2012-339,Brisbane,Hard,32,A,20120101,15,D994,,WC,James Duckworth,R,183,AUS,19.948,275,171,M873,,,Nicolas Mahut,R,190,FRA,29.947,80,653,6-4 6-4,3,R32,71,5,1,52,31,25,12,10,1,3,5,5,52,32,21,9,10,3,7
2012-339,Brisbane,Hard,32,A,20120101,16,SD32,2,,Gilles Simon,R,183,FRA,27.014,12,2165,SG87,,,Ryan Sweeting,R,196,USA,24.471,72,690,6-3 6-4,3,R32,83,3,1,63,43,32,10,10,1,2,2,4,60,31,23,10,9,5,8
2012-339,Brisbane,Hard,32,A,20120101,17,MC10,1,,Andy Murray,R,190,GBR,24.635,4,7380,MA30,,,Gilles Muller,L,193,LUX,28.652,54,893,4-6 7-6(4) 6-0,3,R16,120,9,5,82,49,44,12,14,2,4,10,1,92,56,39,17,14,2,6
2012-339,Brisbane,Hard,32,A,20120101,18,B837,,,Marcos Baghdatis,R,183,CYP,26.543,44,940,N552,5,,Kei Nishikori,R,178,JPN,22.01,25,1430,6-3 6-4,3,R16,79,10,2,63,33,26,13,10,3,5,0,0,50,30,16,9,9,3,7
2012-339,Brisbane,Hard,32,A,20120101,19,I165,,,Denis Istomin,R,188,UZB,25.32,73,685,H355,,,Tommy Haas,R,188,GER,33.749,205,237,W/O,3,R16,,10,2,63,33,26,13,10,3,5,0,0,50,30,16,9,9,3,7
2012-339,Brisbane,Hard,32,A,20120101,20,TA46,8,,Bernard Tomic,R,193,AUS,19.198,42,970,I230,,Q,Tatsuma Ito,R,180,JPN,23.625,122,474,6-1 6-2,3,R16,44,10,1,45,30,24,7,8,0,1,1,2,39,23,11,5,7,1,6
2012-339,Brisbane,Hard,32,A,20120101,21,S694,6,,Radek Stepanek,R,185,CZE,33.098,28,1275,N289,,,Jarkko Nieminen,L,185,FIN,30.445,77,666,7-6(3) 6-2,3,R16,89,3,0,63,39,26,15,10,3,5,3,1,66,39,22,14,10,0,4
2012-339,Brisbane,Hard,32,A,20120101,22,D801,3,,Alexandr Dolgopolov,R,180,UKR,23.151,15,1925,A511,,Q,Igor Andreev,R,185,RUS,28.471,115,494,6-7(3) 7-6(9) 6-2,3,R16,158,0,2,120,78,54,24,16,6,8,10,4,115,71,52,22,16,5,9
2012-339,Brisbane,Hard,32,A,20120101,23,G725,,,Santiago Giraldo,R,188,COL,24.099,55,890,P624,,,Philipp Petzschner,R,185,GER,27.775,63,780,6-4 6-4,3,R16,76,1,2,59,35,27,15,10,0,0,9,1,66,38,29,13,10,1,3
2012-339,Brisbane,Hard,32,A,20120101,24,SD32,2,,Gilles Simon,R,183,FRA,27.014,12,2165,D994,,WC,James Duckworth,R,183,AUS,19.948,275,171,6-3 7-5,3,R16,90,11,4,66,31,26,21,11,0,1,8,1,67,38,25,15,10,5,8
2012-339,Brisbane,Hard,32,A,20120101,25,MC10,1,,Andy Murray,R,190,GBR,24.635,4,7380,B837,,,Marcos Baghdatis,R,183,CYP,26.543,44,940,6-2 6-2,3,QF,66,3,2,52,31,26,10,8,2,2,2,3,40,19,12,7,8,0,4
2012-339,Brisbane,Hard,32,A,20120101,26,TA46,8,,Bernard Tomic,R,193,AUS,19.198,42,970,I165,,,Denis Istomin,R,188,UZB,25.32,73,685,6-3 7-6(4),3,QF,79,8,0,72,45,36,15,11,0,0,8,2,57,32,26,15,10,0,1
2012-339,Brisbane,Hard,32,A,20120101,27,D801,3,,Alexandr Dolgopolov,R,180,UKR,23.151,15,1925,S694,6,,Radek Stepanek,R,185,CZE,33.098,28,1275,4-6 6-3 6-3,3,QF,136,16,2,88,52,33,21,14,3,6,2,4,92,48,34,18,14,8,13
2012-339,Brisbane,Hard,32,A,20120101,28,SD32,2,,Gilles Simon,R,183,FRA,27.014,12,2165,G725,,,Santiago Giraldo,R,188,COL,24.099,55,890,7-6(2) 6-4,3,QF,108,5,1,78,47,34,18,11,6,8,2,0,78,52,32,13,11,5,8
2012-339,Brisbane,Hard,32,A,20120101,29,MC10,1,,Andy Murray,R,190,GBR,24.635,4,7380,TA46,8,,Bernard Tomic,R,193,AUS,19.198,42,970,6-3 6-2,3,SF,71,13,1,48,34,30,8,9,0,0,3,1,52,29,21,10,8,8,11
2012-339,Brisbane,Hard,32,A,20120101,30,D801,3,,Alexandr Dolgopolov,R,180,UKR,23.151,15,1925,SD32,2,,Gilles Simon,R,183,FRA,27.014,12,2165,6-3 6-4,3,SF,82,3,0,48,27,23,15,9,1,1,6,1,65,38,24,16,10,4,7
