tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-339,Brisbane,Hard,32,A,20160104,271,K926,,,Mikhail Kukushkin,R,183,KAZ,28.025,65,762,I165,,,Denis Istomin,R,188,UZB,29.325,61,781,6-2 7-5,3,R32,84,1,3,67,36,27,20,10,3,3,6,0,53,32,22,12,10,4,7
2016-339,Brisbane,Hard,32,A,20160104,272,S694,,PR,Radek Stepanek,R,185,CZE,37.103,197,252,L987,,,Dusan Lajovic,R,180,SRB,25.514,76,678,6-0 6-3,3,R32,67,3,2,48,25,18,16,8,2,2,0,2,46,25,15,8,7,4,8
2016-339,Brisbane,Hard,32,A,20160104,273,TA46,7,,Bernard Tomic,R,193,AUS,23.203,18,1675,M873,,,Nicolas Mahut,R,190,FRA,33.952,71,710,6-4 6-3,3,R32,69,8,0,59,34,28,14,10,4,5,4,1,50,29,21,10,9,3,6
2016-339,Brisbane,Hard,32,A,20160104,275,D646,,Q,Ivan Dodig,R,183,CRO,31.003,87,636,AD23,,Q,Oliver Anderson,U,,AUS,17.681,813,25,6-3 6-2,3,R32,67,11,2,49,30,24,13,9,0,0,3,1,52,30,22,9,8,3,6
2016-339,Brisbane,Hard,32,A,20160104,276,PF39,,,Lucas Pouille,R,,FRA,21.862,78,672,N732,,Q,Yoshihito Nishioka,L,,JPN,20.271,117,495,4-6 6-3 7-5,3,R32,143,17,2,95,64,53,15,16,2,4,4,3,120,64,42,30,15,12,15
2016-339,Brisbane,Hard,32,A,20160104,277,GB88,6,,David Goffin,R,163,BEL,25.076,16,1880,BD20,,,Thomaz Bellucci,L,188,BRA,28.014,37,1105,6-4 6-4,3,R32,82,3,4,57,30,23,16,10,1,2,7,2,66,40,25,15,10,7,10
2016-339,Brisbane,Hard,32,A,20160104,278,TB69,8,,Dominic Thiem,R,,AUT,22.335,20,1600,D994,,WC,James Duckworth,R,183,AUS,23.953,120,485,3-6 6-4 6-3,3,R32,113,4,2,80,48,35,21,14,2,4,14,1,93,42,32,26,14,6,9
2016-339,Brisbane,Hard,32,A,20160104,279,KB09,,,Denis Kudla,R,180,USA,23.381,69,719,SJ55,,WC,John-Patrick Smith,L,,AUS,26.084,129,459,4-6 6-3 6-2,3,R32,103,2,3,73,44,36,19,14,4,5,8,3,85,40,25,25,13,5,8
2016-339,Brisbane,Hard,32,A,20160104,280,CH27,,,Hyeon Chung,R,,KOR,19.628,51,817,G940,,,Sam Groth,R,,AUS,28.211,60,782,7-6(8) 6-4,3,R32,102,2,3,73,48,35,14,11,2,4,11,3,84,52,39,10,11,8,11
2016-339,Brisbane,Hard,32,A,20160104,282,D875,,,Grigor Dimitrov,R,188,BUL,24.638,28,1360,SD32,5,,Gilles Simon,R,183,FRA,31.02,15,2145,6-3 7-6(10),3,R32,125,8,6,81,46,36,18,11,6,7,2,3,91,55,36,16,10,3,5
2016-339,Brisbane,Hard,32,A,20160104,283,T840,,,Viktor Troicki,R,193,SRB,29.897,22,1487,J386,,,Steve Johnson,R,188,USA,26.029,32,1240,7-6(3) 6-1,3,R32,70,3,2,56,34,28,13,10,1,3,3,0,62,33,20,14,9,4,8
2016-339,Brisbane,Hard,32,A,20160104,284,K839,,Q,Tobias Kamke,R,180,GER,29.624,277,185,MK40,,WC,Benjamin Mitchell,R,,AUS,23.094,231,225,6-2 6-4,3,R32,79,1,0,59,36,29,13,9,0,0,4,3,59,37,24,10,9,5,8
2016-339,Brisbane,Hard,32,A,20160104,286,N552,2,,Kei Nishikori,R,178,JPN,26.015,8,4235,K926,,,Mikhail Kukushkin,R,183,KAZ,28.025,65,762,6-3 6-4,3,R16,89,5,2,61,40,29,13,10,5,6,3,0,58,36,23,10,9,4,7
2016-339,Brisbane,Hard,32,A,20160104,287,TA46,7,,Bernard Tomic,R,193,AUS,23.203,18,1675,S694,,PR,Radek Stepanek,R,185,CZE,37.103,197,252,7-6(6) 4-6 7-6(4),3,R16,157,19,1,114,78,56,17,17,3,6,14,5,107,66,54,18,17,4,6
2016-339,Brisbane,Hard,32,A,20160104,288,R975,4,,Milos Raonic,R,196,CAN,25.021,14,2170,D646,,Q,Ivan Dodig,R,183,CRO,31.003,87,636,6-7(2) 6-1 6-4,3,R16,145,17,5,106,62,51,23,15,3,3,11,2,100,66,47,17,14,7,10
2016-339,Brisbane,Hard,32,A,20160104,289,PF39,,,Lucas Pouille,R,,FRA,21.862,78,672,GB88,6,,David Goffin,R,163,BEL,25.076,16,1880,7-6(5) 4-6 6-3,3,R16,122,13,4,106,57,45,24,15,9,11,9,1,92,50,40,20,16,1,4
2016-339,Brisbane,Hard,32,A,20160104,290,TB69,8,,Dominic Thiem,R,,AUT,22.335,20,1600,KB09,,,Denis Kudla,R,180,USA,23.381,69,719,6-3 6-2,3,R16,56,7,1,45,33,28,8,9,0,0,0,2,48,27,19,8,8,2,5
2016-339,Brisbane,Hard,32,A,20160104,291,C977,3,,Marin Cilic,R,198,CRO,27.266,13,2405,CH27,,,Hyeon Chung,R,,KOR,19.628,51,817,7-5 7-6(3),3,R16,106,18,3,77,44,37,16,12,4,6,5,2,79,50,36,15,12,6,9
2016-339,Brisbane,Hard,32,A,20160104,292,D875,,,Grigor Dimitrov,R,188,BUL,24.638,28,1360,T840,,,Viktor Troicki,R,193,SRB,29.897,22,1487,5-7 7-6(6) 6-2,3,R16,167,9,4,117,70,51,25,16,5,7,9,1,120,76,51,23,16,6,9
2016-339,Brisbane,Hard,32,A,20160104,293,F324,1,,Roger Federer,R,185,SUI,34.407,3,8265,K839,,Q,Tobias Kamke,R,180,GER,29.624,277,185,6-2 6-1,3,R16,55,2,1,40,22,18,12,7,1,1,2,4,46,27,15,6,8,1,6
2016-339,Brisbane,Hard,32,A,20160104,294,TA46,7,,Bernard Tomic,R,193,AUS,23.203,18,1675,N552,2,,Kei Nishikori,R,178,JPN,26.015,8,4235,6-3 1-6 6-3,3,QF,119,14,1,97,62,45,13,13,8,11,5,3,84,52,35,15,12,7,10
2016-339,Brisbane,Hard,32,A,20160104,295,R975,4,,Milos Raonic,R,196,CAN,25.021,14,2170,PF39,,,Lucas Pouille,R,,FRA,21.862,78,672,6-4 6-4,3,QF,76,12,4,52,29,27,12,10,0,1,6,4,73,43,33,9,10,5,8
2016-339,Brisbane,Hard,32,A,20160104,296,TB69,8,,Dominic Thiem,R,,AUT,22.335,20,1600,C977,3,,Marin Cilic,R,198,CRO,27.266,13,2405,2-6 7-6(4) 6-4,3,QF,119,6,0,84,55,41,20,15,0,2,11,2,98,52,41,27,15,7,8
2016-339,Brisbane,Hard,32,A,20160104,297,F324,1,,Roger Federer,R,185,SUI,34.407,3,8265,D875,,,Grigor Dimitrov,R,188,BUL,24.638,28,1360,6-4 6-7(4) 6-4,3,QF,127,7,1,83,52,45,19,16,0,1,8,2,104,62,46,21,16,8,11
