tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-339,Brisbane,Hard,32,A,20180101,1,MH30,,WC,John Millman,R,183,AUS,28.55,128,436,PB22,,Q,Peter Polansky,R,183,CAN,29.547,137,404,7-6(4) 6-0,3,R32,95,8,0,57,37,27,17,9,1,1,1,1,74,43,24,17,9,7,10
2018-339,Brisbane,Hard,32,A,20180101,2,E831,,,Kyle Edmund,R,188,GBR,22.982,50,992,SU55,,,Denis Shapovalov,L,185,CAN,18.716,51,981,6-7(5) 7-6(4) 6-4,3,R32,150,5,5,113,65,54,29,17,5,6,18,5,100,62,54,18,17,1,3
2018-339,Brisbane,Hard,32,A,20180101,3,CH27,,,Hyeon Chung,R,188,KOR,21.621,58,844,MA30,5,,Gilles Muller,L,193,LUX,34.65,25,1695,6-3 7-6(1),3,R32,99,7,4,64,35,29,17,10,2,2,19,5,68,40,33,10,11,3,5
2018-339,Brisbane,Hard,32,A,20180101,4,E690,,,Matthew Ebden,R,188,AUS,30.1,76,670,TD51,,,Frances Tiafoe,R,188,USA,19.948,79,662,6-3 6-2,3,R32,59,7,1,48,32,23,11,9,2,3,4,4,46,25,18,6,8,1,5
2018-339,Brisbane,Hard,32,A,20180101,5,Z184,,,Horacio Zeballos,L,188,ARG,32.682,66,768,E873,,Q,Ernesto Escobedo,R,185,MEX,21.495,120,498,6-3 6-4,3,R32,72,12,3,57,37,31,11,10,1,1,9,0,51,32,25,10,9,4,6
2018-339,Brisbane,Hard,32,A,20180101,6,D801,,,Alexandr Dolgopolov,R,180,UKR,29.15,38,1231,SM37,6,,Diego Schwartzman,R,170,ARG,25.377,26,1675,6-4 7-6(3),3,R32,93,6,4,69,40,32,16,11,3,4,1,2,70,34,22,20,11,1,3
2018-339,Brisbane,Hard,32,A,20180101,7,Z168,8,,Mischa Zverev,L,191,GER,30.363,33,1302,SJ55,,Q,John-Patrick Smith,L,188,AUS,28.936,218,235,6-4 7-5,3,R32,88,4,1,66,51,35,6,11,3,6,4,0,69,51,27,8,11,1,6
2018-339,Brisbane,Hard,32,A,20180101,8,MP01,,Q,Michael Mmoh,R,188,USA,19.975,175,299,D874,,,Federico Delbonis,L,193,ARG,27.242,68,755,6-3 6-4,3,R32,69,5,4,55,38,32,11,10,3,3,4,0,45,35,28,5,9,0,2
2018-339,Brisbane,Hard,32,A,20180101,9,DH58,,WC,Alex de Minaur,R,183,AUS,18.872,208,245,J386,,,Steve Johnson,R,188,USA,28.022,44,1055,7-6(7) 6-4,3,R32,104,9,3,66,37,32,17,11,2,3,6,2,80,43,33,17,11,4,6
2018-339,Brisbane,Hard,32,A,20180101,10,I165,,,Denis Istomin,R,185,UZB,31.318,63,809,D923,7,,Damir Dzumhur,R,175,BIH,25.618,30,1391,6-7(4) 6-3 6-2,3,R32,145,7,0,94,66,48,12,14,9,11,8,6,120,53,37,29,15,10,16
2018-339,Brisbane,Hard,32,A,20180101,11,DC58,,,Jared Donaldson,R,188,USA,21.229,54,890,TC61,,WC,Jordan Thompson,R,183,AUS,23.702,94,593,6-2 6-4,3,R32,90,5,3,58,32,25,14,9,4,5,3,5,62,41,25,7,9,7,11
2018-339,Brisbane,Hard,32,A,20180101,12,H940,,,Ryan Harrison,R,185,USA,25.654,47,1010,MD56,,,Leonardo Mayer,R,191,ARG,30.634,52,909,6-4 3-6 6-2,3,R32,123,9,2,82,49,39,20,13,8,9,10,3,80,47,33,19,14,1,4
2018-339,Brisbane,Hard,32,A,20180101,13,D875,1,,Grigor Dimitrov,R,191,BUL,26.631,3,5150,MH30,,WC,John Millman,R,183,AUS,28.55,128,436,4-6 7-6(8) 6-3,3,R16,155,6,5,113,65,51,22,16,4,7,5,1,101,67,46,18,15,3,6
2018-339,Brisbane,Hard,32,A,20180101,14,E831,,,Kyle Edmund,R,188,GBR,22.982,50,992,CH27,,,Hyeon Chung,R,188,KOR,21.621,58,844,7-6(3) 5-7 6-4,3,R16,158,12,3,102,66,54,16,17,1,3,11,1,109,75,51,20,17,6,8
2018-339,Brisbane,Hard,32,A,20180101,15,KE17,3,,Nick Kyrgios,R,193,AUS,22.683,21,2010,E690,,,Matthew Ebden,R,188,AUS,30.1,76,670,6-7(3) 7-6(5) 6-2,3,R16,132,13,2,100,62,53,21,16,2,2,11,2,105,78,58,16,16,5,7
2018-339,Brisbane,Hard,32,A,20180101,16,D801,,,Alexandr Dolgopolov,R,180,UKR,29.15,38,1231,Z184,,,Horacio Zeballos,L,188,ARG,32.682,66,768,6-1 6-2,3,R16,64,9,2,51,33,25,10,7,4,4,2,2,49,28,15,7,8,2,7
2018-339,Brisbane,Hard,32,A,20180101,17,MP01,,Q,Michael Mmoh,R,188,USA,19.975,175,299,Z168,8,,Mischa Zverev,L,191,GER,30.363,33,1302,6-2 5-7 6-4,3,R16,152,12,3,111,67,48,22,15,6,8,11,3,83,50,37,17,15,4,8
2018-339,Brisbane,Hard,32,A,20180101,18,DH58,,WC,Alex de Minaur,R,183,AUS,18.872,208,245,R975,4,,Milos Raonic,R,196,CAN,27.014,24,1795,6-4 6-4,3,R16,94,5,0,67,41,29,16,10,5,6,9,4,63,38,26,13,10,7,10
2018-339,Brisbane,Hard,32,A,20180101,19,I165,,,Denis Istomin,R,185,UZB,31.318,63,809,DC58,,,Jared Donaldson,R,188,USA,21.229,54,890,7-6(5) 6-2,3,R16,91,6,1,63,45,35,8,10,5,7,4,9,72,35,26,15,10,5,9
2018-339,Brisbane,Hard,32,A,20180101,20,H940,,,Ryan Harrison,R,185,USA,25.654,47,1010,H997,,LL,Yannick Hanfmann,R,193,GER,26.136,119,499,6-7(5) 6-4 6-2,3,R16,145,19,5,96,54,43,23,15,8,9,5,5,115,68,50,17,15,7,11
2018-339,Brisbane,Hard,32,A,20180101,21,D875,1,,Grigor Dimitrov,R,191,BUL,26.631,3,5150,E831,,,Kyle Edmund,R,188,GBR,22.982,50,992,6-3 6-7(3) 6-4,3,QF,145,12,9,103,65,54,18,16,2,2,6,1,89,53,39,23,15,4,6
2018-339,Brisbane,Hard,32,A,20180101,22,KE17,3,,Nick Kyrgios,R,193,AUS,22.683,21,2010,D801,,,Alexandr Dolgopolov,R,180,UKR,29.15,38,1231,1-6 6-3 6-4,3,QF,90,18,5,69,43,38,11,13,1,3,6,3,75,41,33,16,13,2,4
