tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1993-520,Roland Garros,Clay,128,G,19930524,61,T136,,,Jeff Tarango,L,180,USA,24.507,75,553,N117,,,Markus Naewie,R,190,GER,23.376,133,323,0-6 2-6 6-2 6-1 6-4,5,R128,150,5,3,122,77,54,21,20,5,11,2,1,115,69,42,25,19,3,9
1993-580,Australian Open,Hard,128,G,19930118,75,S331,,WC,Jason Stoltenberg,R,185,AUS,22.793,161,241,M372,,,Alberto Mancini,R,180,ARG,23.666,33,898,0-6 4-6 6-1 6-2 6-4,5,R64,,10,12,144,65,56,32,21,3,8,6,7,146,79,53,33,20,7,13
1993-427,Sydney Indoor,Hard,32,A,19931004,19,I034,4,,Goran Ivanisevic,L,193,CRO,22.059,9,2061,B401,,Q,Steve Bryan,R,178,USA,23.151,132,332,0-6 6-1 6-4,3,R16,80,18,4,67,36,25,17,12,4,7,2,2,71,46,30,13,11,4,7
1993-329,Tokyo Outdoor,Hard,56,A,19930405,17,M048,,Q,Patrick McEnroe,R,183,USA,26.762,132,327,A199,,,Chuck Adams,R,185,USA,21.952,89,481,0-6 6-2 6-2,3,R64,91,1,1,69,56,32,9,11,4,7,3,1,71,48,31,9,11,1,5
1993-346,Tampa,Clay,32,A,19930503,3,T136,,,Jeff Tarango,L,180,USA,24.449,69,601,P021,,Q,Diego Perez,R,178,URU,31.228,113,381,0-6 6-2 6-2,3,R32,105,2,4,93,46,31,23,11,10,13,2,2,62,36,24,12,11,2,6
1993-505,Santiago,Clay,32,A,19931025,14,F165,,,Marcelo Filippini,R,178,URU,26.226,96,497,C216,,,Tomas Carbonell,R,178,ESP,25.216,86,520,0-6 6-2 6-2,3,R32,107,1,7,69,43,25,12,11,4,8,0,10,85,64,37,6,11,9,14
1993-425,Barcelona,Clay,56,A,19930405,44,G182,,,Magnus Gustafsson,R,185,SWE,26.253,39,741,C179,5,,Carlos Costa,R,183,ESP,24.953,18,1427,0-6 6-2 7-5,3,R16,129,0,2,88,62,41,8,13,3,8,3,0,88,43,31,19,13,9,14
1993-367,Athens,Clay,32,A,19931004,14,C252,,,Francisco Clavet,L,183,ESP,24.945,100,462,S507,,,Federico Sanchez,R,168,ESP,22.834,160,255,0-6 6-3 6-2,3,R32,115,1,4,67,43,28,10,11,2,6,0,1,69,50,30,8,12,1,6
1993-580,Australian Open,Hard,128,G,19930118,35,D210,,WC,Heath Denman,R,183,AUS,22.004,338,65,B021,,,Jeremy Bates,R,180,GBR,30.585,112,385,0-6 6-3 6-2 6-4,5,R128,,18,8,171,98,71,32,17,14,17,2,4,103,51,38,23,16,5,9
1993-580,Australian Open,Hard,128,G,19930118,104,J018,,Q,Kelly Jones,R,185,USA,28.802,447,35,W123,,,David Wheaton,R,193,USA,23.63,47,716,0-6 6-3 6-4 6-2,5,R32,,4,4,112,65,46,19,17,11,17,6,8,115,57,35,24,16,10,17
