tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-9665,Melbourne,Hard,32,A,20220103,271,C0BC,,Q,Maxime Cressy,R,198,USA,24.6570841889,112,683,H0BH,,Q,Rinky Hijikata,U,,AUS,20.8596851472,375,113,6-3 6-0,3,R32,63,9,2,45,33,24,10,8,0,0,1,4,43,23,12,8,7,2,6
2022-9665,Melbourne,Hard,32,A,20220103,293,N409,1,,Rafael Nadal,L,185,ESP,35.5865845311,6,4875,BE90,,Q,Ricardas Berankis,R,175,LTU,31.537303217,104,739,6-2 7-5,3,R16,91,3,2,57,36,28,9,10,0,2,3,3,64,39,22,11,10,3,8
2022-9665,Melbourne,Hard,32,A,20220103,292,GJ37,,,Tallon Griekspoor,R,,NED,25.5058179329,65,966,P09Z,,,Alexei Popyrin,R,196,AUS,22.4147843943,61,1000,6-3 4-6 6-3,3,R16,117,5,0,93,59,47,17,14,7,8,15,6,93,53,38,21,14,4,7
2022-9665,Melbourne,Hard,32,A,20220103,291,MV14,,,Alex Molcan,L,,SVK,24.090349076,88,806,GB88,4,,David Goffin,R,180,BEL,31.0746064339,39,1476,7-5 6-3,3,R16,100,2,1,68,40,28,18,11,6,7,2,5,67,32,23,15,10,7,10
2022-9665,Melbourne,Hard,32,A,20220103,290,RH24,,,Emil Ruusuvuori,R,188,FIN,22.7570157426,95,778,TC61,,,Jordan Thompson,R,183,AUS,27.7070499658,75,860,7-6(3) 5-7 6-3,3,R16,170,6,6,102,71,53,17,16,3,5,7,1,109,71,48,21,17,7,10
2022-9665,Melbourne,Hard,32,A,20220103,289,V812,,,Botic Van De Zandschulp,R,,NED,26.250513347,57,1034,MK66,8,,Mackenzie Mcdonald,R,,USA,26.7186858316,55,1084,6-2 7-5,3,R16,80,5,2,58,43,33,8,10,1,2,3,1,57,36,24,9,10,2,6
2022-9665,Melbourne,Hard,32,A,20220103,288,D875,3,,Grigor Dimitrov,R,188,BUL,30.636550308,28,1801,BF23,,,Facundo Bagnis,L,183,ARG,31.8494182067,76,860,5-7 7-6(3) 6-3,3,R16,173,11,5,94,58,46,17,16,2,5,10,3,110,73,46,20,17,3,7
2022-9665,Melbourne,Hard,32,A,20220103,287,MU94,,,Jaume Munar,R,183,ESP,24.6652977413,77,848,L949,,LL,Henri Laaksonen,R,185,SUI,29.7604380561,98,765,6-1 7-5,3,R16,83,11,3,54,39,33,5,9,2,3,0,0,69,46,30,4,10,5,10
2022-9665,Melbourne,Hard,32,A,20220103,286,C0BC,,Q,Maxime Cressy,R,198,USA,24.6570841889,112,683,O522,2,,Reilly Opelka,R,211,USA,24.3504449008,26,1936,4-6 7-6(5) 7-6(9),3,R16,161,17,10,125,85,68,20,17,9,10,29,4,106,69,59,24,17,2,2
2022-9665,Melbourne,Hard,32,A,20220103,297,N409,1,,Rafael Nadal,L,185,ESP,35.5865845311,6,4875,GJ37,,,Tallon Griekspoor,R,,NED,25.5058179329,65,966,W/O,3,QF,0,,,,,,,,,,,,,,,,,,
2022-9665,Melbourne,Hard,32,A,20220103,296,RH24,,,Emil Ruusuvuori,R,188,FIN,22.7570157426,95,778,MV14,,,Alex Molcan,L,,SVK,24.090349076,88,806,6-2 6-1,3,QF,67,2,0,40,32,28,5,8,2,2,0,2,42,30,13,6,7,5,9
2022-9665,Melbourne,Hard,32,A,20220103,295,D875,3,,Grigor Dimitrov,R,188,BUL,30.636550308,28,1801,V812,,,Botic Van De Zandschulp,R,,NED,26.250513347,57,1034,6-7(5) 6-0 7-5,3,QF,164,5,4,89,64,50,13,15,3,5,4,2,124,89,53,17,15,11,17
2022-9665,Melbourne,Hard,32,A,20220103,294,C0BC,,Q,Maxime Cressy,R,198,USA,24.6570841889,112,683,MU94,,,Jaume Munar,R,183,ESP,24.6652977413,77,848,7-6(3) 6-4,3,QF,145,11,10,88,56,43,13,11,3,4,1,2,84,51,29,21,11,7,9
2022-9665,Melbourne,Hard,32,A,20220103,299,N409,1,,Rafael Nadal,L,185,ESP,35.5865845311,6,4875,RH24,,,Emil Ruusuvuori,R,188,FIN,22.7570157426,95,778,6-4 7-5,3,SF,116,3,1,68,47,36,11,11,5,6,3,1,72,59,37,5,11,1,4
2022-9665,Melbourne,Hard,32,A,20220103,298,C0BC,,Q,Maxime Cressy,R,198,USA,24.6570841889,112,683,D875,3,,Grigor Dimitrov,R,188,BUL,30.636550308,28,1801,7-5 7-6(9),3,SF,123,17,6,98,71,55,12,12,5,5,10,3,75,50,41,11,12,1,2
2022-9665,Melbourne,Hard,32,A,20220103,300,N409,1,,Rafael Nadal,L,185,ESP,35.5865845311,6,4875,C0BC,,Q,Maxime Cressy,R,198,USA,24.6570841889,112,683,7-6(6) 6-3,3,F,107,9,4,64,41,32,15,11,0,1,8,3,70,50,32,12,10,6,8
