tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-339,Brisbane,Hard,32,A,20100103,1,R485,1,,Andy Roddick,R,188,USA,27.348,7,4410,L515,,,Peter Luczak,R,183,AUS,30.346,77,598,7-6(5) 6-2,3,R32,84,15,0,63,42,36,14,10,3,3,4,2,56,34,29,11,10,3,5
2010-339,Brisbane,Hard,32,A,20100103,2,BD59,,WC,Carsten Ball,L,198,AUS,22.543,134,400,Z168,,,Mischa Zverev,L,190,GER,22.371,78,590,7-5 6-1,3,R32,70,10,3,57,30,23,19,10,0,0,2,2,66,34,22,14,9,7,10
2010-339,Brisbane,Hard,32,A,20100103,3,G628,,,Richard Gasquet,R,185,FRA,23.548,52,850,N289,,,Jarkko Nieminen,L,185,FIN,28.452,88,568,6-3 4-6 6-4,3,R32,121,5,4,97,51,33,27,15,5,8,4,0,85,58,38,14,14,7,11
2010-339,Brisbane,Hard,32,A,20100103,4,E690,,Q,Matthew Ebden,R,188,AUS,22.108,285,151,M762,6,,Jurgen Melzer,L,183,AUT,28.621,28,1260,7-5 6-1,3,R32,64,12,1,50,35,30,12,10,3,3,2,1,53,29,16,15,9,2,5
2010-339,Brisbane,Hard,32,A,20100103,5,BA47,4,,Tomas Berdych,R,196,CZE,24.298,20,1655,L836,,Q,Nick Lindahl,R,183,AUS,21.429,251,179,6-2 6-4,3,R32,69,3,1,46,27,24,14,9,1,1,6,1,69,41,26,14,9,6,9
2010-339,Brisbane,Hard,32,A,20100103,6,B837,,,Marcos Baghdatis,R,183,CYP,24.55,42,945,F339,,,Mardy Fish,R,188,USA,28.071,55,790,7-5 7-5,3,R32,101,7,5,62,32,27,17,12,0,1,7,3,77,36,28,20,12,3,6
2010-339,Brisbane,Hard,32,A,20100103,7,L336,,,Harel Levy,R,185,ISR,31.417,119,461,L428,,,Michael Llodra,L,190,FRA,29.632,67,649,6-2 6-0,3,R32,41,8,0,35,23,18,10,7,0,0,0,0,46,36,17,3,7,5,10
2010-339,Brisbane,Hard,32,A,20100103,8,BD20,8,,Thomaz Bellucci,L,188,BRA,22.015,36,1021,C514,,,Juan Ignacio Chela,R,190,ARG,30.349,73,611,6-3 3-6 6-1,3,R32,105,12,4,87,58,37,14,13,6,10,1,1,71,38,20,17,12,2,8
2010-339,Brisbane,Hard,32,A,20100103,9,B676,,,James Blake,R,185,USA,30.021,44,935,Q927,5,,Sam Querrey,R,198,USA,22.245,25,1320,4-6 6-3 6-4,3,R32,88,10,3,86,47,40,24,15,2,3,9,3,85,52,41,16,14,3,5
2010-339,Brisbane,Hard,32,A,20100103,10,G436,,,Marc Gicquel,R,188,FRA,32.767,58,744,P624,,,Philipp Petzschner,R,185,GER,25.782,80,587,6-3 6-1,3,R32,50,4,1,38,27,25,8,8,0,0,4,2,46,21,15,10,8,1,5
