tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-339,Brisbane,Hard,32,A,20090104,1,G858,,,Ernests Gulbis,R,190,LAT,20.35,53,1408,D643,1,,Novak Djokovic,R,188,SRB,21.626,3,10590,6-4 6-4,3,R32,90,4,2,61,38,28,11,10,2,4,3,4,65,31,21,14,10,9,13
2009-339,Brisbane,Hard,32,A,20090104,2,M850,,,Paul-Henri Mathieu,R,185,FRA,26.982,31,2000,G681,,Q,Teymuraz Gabashvili,R,188,RUS,23.622,65,1226,6-3 6-3,3,R32,73,9,2,48,28,26,9,9,2,3,3,4,50,25,17,10,9,5,9
2009-339,Brisbane,Hard,32,A,20090104,3,N552,,,Kei Nishikori,R,178,JPN,19.02,61,1280,R483,,Q,Bobby Reynolds,R,183,USA,26.472,68,1144,6-3 6-2,3,R32,59,5,4,45,23,19,14,9,0,1,5,1,53,29,18,8,8,4,8
2009-339,Brisbane,Hard,32,A,20090104,4,BA47,5,,Tomas Berdych,R,196,CZE,23.302,20,2430,K964,,WC,Brydan Klein,R,183,AUS,19.014,248,304,6-0 6-4,3,R32,67,5,2,50,33,28,6,8,4,5,0,2,51,27,15,7,8,3,8
2009-339,Brisbane,Hard,32,A,20090104,5,V306,3,,Fernando Verdasco,L,188,ESP,25.142,15,2830,TA46,,WC,Bernard Tomic,R,193,AUS,16.208,764,42,6-4 6-2,3,R32,65,1,2,50,39,31,5,9,3,4,3,1,56,34,19,9,9,9,13
2009-339,Brisbane,Hard,32,A,20090104,6,A385,,,Mario Ancic,R,196,CRO,24.769,35,1800,D438,,Q,Amer Delic,R,196,BIH,26.519,131,716,7-6(2) 6-7(4) 7-6(6),3,R32,172,23,3,122,72,56,32,18,2,2,21,3,129,87,63,26,18,3,3
2009-339,Brisbane,Hard,32,A,20090104,7,S963,,,Florent Serra,R,180,FRA,27.852,60,1324,F316,,,Juan Carlos Ferrero,R,183,ESP,28.898,52,1410,6-3 7-6(3),3,R32,84,6,2,77,47,39,15,11,2,3,7,2,67,41,31,11,10,8,10
2009-339,Brisbane,Hard,32,A,20090104,8,M762,,,Jurgen Melzer,L,183,AUT,27.625,32,1878,F339,6,,Mardy Fish,R,188,USA,27.075,22,2330,6-4 4-6 7-6(4),3,R32,143,12,4,114,74,59,16,16,8,10,20,2,106,53,41,30,16,8,10
2009-339,Brisbane,Hard,32,A,20090104,9,S694,8,,Radek Stepanek,R,185,CZE,30.108,26,2260,K403,,,Igor Kunitsyn,R,180,RUS,27.266,45,1562,6-2 6-2,3,R32,66,6,1,43,23,19,13,8,0,0,1,2,47,27,18,6,8,7,11
2009-339,Brisbane,Hard,32,A,20090104,10,L428,,,Michael Llodra,L,190,FRA,28.635,54,1400,S673,,Q,Joseph Sirianni,R,175,AUS,33.969,263,282,5-7 7-6(3) 6-2,3,R32,145,13,3,101,70,57,12,16,3,5,9,0,94,41,31,28,16,4,7
2009-339,Brisbane,Hard,32,A,20090104,11,B747,,,Julien Benneteau,R,185,FRA,27.044,40,1608,G569,,,Robby Ginepri,R,183,USA,26.248,49,1480,3-6 6-3 7-5,3,R32,127,10,9,99,62,41,17,15,2,6,8,2,88,53,32,21,15,4,9
2009-339,Brisbane,Hard,32,A,20090104,12,SA49,4,,Robin Soderling,R,193,SWE,24.394,17,2650,Q927,,,Sam Querrey,R,198,USA,21.248,36,1740,6-3 6-3,3,R32,55,7,2,52,30,26,13,9,0,0,4,3,49,27,20,9,9,2,5
2009-339,Brisbane,Hard,32,A,20090104,13,G628,7,,Richard Gasquet,R,185,FRA,22.552,23,2320,G436,,,Marc Gicquel,R,188,FRA,31.77,50,1428,4-6 6-2 6-2,3,R32,133,6,5,91,42,29,26,13,3,5,7,6,100,45,30,23,13,13,18
2009-339,Brisbane,Hard,32,A,20090104,14,D362,,,Taylor Dent,R,188,USA,27.702,865,28,D632,,,Steve Darcis,R,178,BEL,24.816,59,1362,7-6(0) 6-2,3,R32,86,8,5,68,37,31,13,10,6,8,4,2,70,46,24,14,10,1,5
2009-339,Brisbane,Hard,32,A,20090104,15,N289,,,Jarkko Nieminen,L,185,FIN,27.455,41,1600,B837,,WC,Marcos Baghdatis,R,183,CYP,23.554,96,950,5-7 6-1 6-4,3,R32,124,2,2,89,64,42,15,15,2,5,5,11,91,45,34,18,14,6,11
2009-339,Brisbane,Hard,32,A,20090104,16,T786,2,,Jo-Wilfried Tsonga,R,188,FRA,23.721,7,3950,C478,,,Agustin Calleri,R,183,ARG,32.309,62,1250,6-2 7-5,3,R32,93,3,1,56,38,28,12,10,0,1,2,7,82,41,24,20,10,7,11
2009-339,Brisbane,Hard,32,A,20090104,17,M850,,,Paul-Henri Mathieu,R,185,FRA,26.982,31,2000,G858,,,Ernests Gulbis,R,190,LAT,20.35,53,1408,6-3 6-4,3,R16,81,6,3,61,28,22,23,10,4,4,9,1,49,34,26,6,9,1,3
2009-339,Brisbane,Hard,32,A,20090104,18,N552,,,Kei Nishikori,R,178,JPN,19.02,61,1280,BA47,5,,Tomas Berdych,R,196,CZE,23.302,20,2430,7-6(7) 6-3,3,R16,100,5,1,72,39,30,21,11,4,5,6,1,72,44,29,16,10,2,4
2009-339,Brisbane,Hard,32,A,20090104,19,V306,3,,Fernando Verdasco,L,188,ESP,25.142,15,2830,A385,,,Mario Ancic,R,196,CRO,24.769,35,1800,6-2 6-3,3,R16,79,6,1,53,39,33,8,9,5,5,2,0,55,33,20,11,8,2,5
2009-339,Brisbane,Hard,32,A,20090104,20,S963,,,Florent Serra,R,180,FRA,27.852,60,1324,M762,,,Jurgen Melzer,L,183,AUT,27.625,32,1878,6-4 6-3,3,R16,71,4,2,63,32,21,20,10,4,5,7,3,53,28,20,11,9,1,4
2009-339,Brisbane,Hard,32,A,20090104,21,S694,8,,Radek Stepanek,R,185,CZE,30.108,26,2260,L428,,,Michael Llodra,L,190,FRA,28.635,54,1400,7-6(2) 6-3,3,R16,93,6,3,71,38,35,18,11,2,2,5,3,67,43,33,10,10,3,4
2009-339,Brisbane,Hard,32,A,20090104,22,SA49,4,,Robin Soderling,R,193,SWE,24.394,17,2650,B747,,,Julien Benneteau,R,185,FRA,27.044,40,1608,6-3 6-3,3,R16,66,6,1,48,25,21,14,9,3,4,4,2,55,36,20,8,9,2,6
2009-339,Brisbane,Hard,32,A,20090104,23,G628,7,,Richard Gasquet,R,185,FRA,22.552,23,2320,D362,,,Taylor Dent,R,188,USA,27.702,865,28,7-5 6-4,3,R16,80,9,2,60,39,32,11,11,4,5,4,7,70,41,31,10,11,2,5
2009-339,Brisbane,Hard,32,A,20090104,24,T786,2,,Jo-Wilfried Tsonga,R,188,FRA,23.721,7,3950,N289,,,Jarkko Nieminen,L,185,FIN,27.455,41,1600,0-6 7-6(1) 7-6(5),3,R16,135,9,2,95,62,45,15,15,1,5,0,0,101,69,44,19,15,5,6
2009-339,Brisbane,Hard,32,A,20090104,25,M850,,,Paul-Henri Mathieu,R,185,FRA,26.982,31,2000,N552,,,Kei Nishikori,R,178,JPN,19.02,61,1280,6-3 6-4,3,QF,87,6,3,63,43,29,13,10,4,5,4,4,64,34,21,16,9,2,5
2009-339,Brisbane,Hard,32,A,20090104,26,V306,3,,Fernando Verdasco,L,188,ESP,25.142,15,2830,S963,,,Florent Serra,R,180,FRA,27.852,60,1324,4-6 6-0 6-3,3,QF,114,7,2,79,66,49,7,13,6,7,3,4,85,56,34,13,12,5,9
2009-339,Brisbane,Hard,32,A,20090104,27,S694,8,,Radek Stepanek,R,185,CZE,30.108,26,2260,SA49,4,,Robin Soderling,R,193,SWE,24.394,17,2650,2-6 6-4 6-3,3,QF,106,6,4,72,38,31,14,14,2,7,9,4,78,43,30,13,13,8,13
2009-339,Brisbane,Hard,32,A,20090104,28,G628,7,,Richard Gasquet,R,185,FRA,22.552,23,2320,T786,2,,Jo-Wilfried Tsonga,R,188,FRA,23.721,7,3950,1-6 6-4 6-2,3,QF,98,3,3,68,37,30,17,12,3,5,8,4,76,45,35,13,13,3,6
2009-339,Brisbane,Hard,32,A,20090104,29,V306,3,,Fernando Verdasco,L,188,ESP,25.142,15,2830,M850,,,Paul-Henri Mathieu,R,185,FRA,26.982,31,2000,6-2 6-1,3,SF,76,4,2,50,38,28,5,8,3,4,0,3,60,32,19,7,7,3,8
2009-339,Brisbane,Hard,32,A,20090104,30,S694,8,,Radek Stepanek,R,185,CZE,30.108,26,2260,G628,7,,Richard Gasquet,R,185,FRA,22.552,23,2320,2-6 6-2 6-4,3,SF,132,5,1,78,48,31,15,13,5,9,6,5,111,61,37,22,13,14,19
2009-339,Brisbane,Hard,32,A,20090104,31,S694,8,,Radek Stepanek,R,185,CZE,30.108,26,2260,V306,3,,Fernando Verdasco,L,188,ESP,25.142,15,2830,3-6 6-3 6-4,3,F,138,3,1,81,41,31,25,14,6,8,1,1,87,75,48,5,14,2,5
2009-451,Doha,Hard,32,A,20090105,1,N409,1,,Rafael Nadal,L,185,ESP,22.593,1,13160,S424,,,Fabrice Santoro,R,178,FRA,36.074,51,1418,6-0 6-1,3,R32,47,1,0,27,20,19,5,6,0,0,2,1,39,19,8,4,7,3,9
2009-451,Doha,Hard,32,A,20090105,2,B804,,Q,Karol Beck,R,180,SVK,26.76,144,606,P701,,Q,Michal Przysiezny,R,185,POL,24.887,607,72,4-6 6-4 7-5,3,R32,128,3,4,90,55,45,20,16,1,3,9,1,96,57,41,22,16,4,7
2009-451,Doha,Hard,32,A,20090105,3,D469,,,Nicolas Devilder,L,173,FRA,28.783,72,1122,H908,,WC,Abdulla Hajji,U,,QAT,18.086,,,6-0 6-3,3,R32,46,6,1,31,18,17,11,7,0,0,0,0,54,35,19,4,8,2,7
2009-451,Doha,Hard,32,A,20090105,4,MC65,5,,Gael Monfils,R,193,FRA,22.346,13,2950,H442,,,Jan Hernych,R,190,CZE,29.5,79,1068,6-2 6-2,3,R32,55,9,2,50,35,27,6,8,2,3,1,2,41,26,15,2,8,1,6
2009-451,Doha,Hard,32,A,20090105,5,R485,4,,Andy Roddick,R,188,USA,26.352,8,3940,N309,,,Ivan Navarro,R,183,ESP,27.214,73,1108,6-1 6-3,3,R32,62,8,0,46,34,26,9,8,1,1,3,8,52,20,16,10,8,6,10
2009-451,Doha,Hard,32,A,20090105,6,C487,,WC,Arnaud Clement,R,173,FRA,31.053,92,960,J214,,,Diego Junqueira,L,178,ARG,28.022,77,1088,6-1 6-2,3,R32,69,4,1,46,34,28,6,8,1,1,0,0,56,34,20,7,7,5,9
2009-451,Doha,Hard,32,A,20090105,7,H528,,,Victor Hanescu,R,198,ROU,27.461,48,1486,T840,,,Viktor Troicki,R,193,SRB,22.902,56,1380,6-4 6-2,3,R32,70,1,1,49,37,28,8,9,3,4,8,3,58,33,20,11,9,7,11
2009-451,Doha,Hard,32,A,20090105,8,Y061,,,Mikhail Youzhny,R,183,RUS,26.533,39,1670,A511,6,,Igor Andreev,R,185,RUS,25.481,19,2490,4-6 6-3 6-4,3,R32,121,4,0,86,64,43,16,15,1,3,2,4,85,46,36,18,14,5,8
2009-451,Doha,Hard,32,A,20090105,9,P467,,Q,Alexander Peya,R,183,AUT,28.526,148,590,T315,7,,Dmitry Tursunov,R,185,RUS,26.067,24,2290,2-6 6-3 6-4,3,R32,115,4,5,101,60,45,19,14,8,10,8,3,90,53,33,23,13,8,10
2009-451,Doha,Hard,32,A,20090105,10,SC77,,,Sergiy Stakhovsky,R,193,UKR,22.998,91,966,R336,,,Christophe Rochus,R,170,BEL,30.059,75,1096,2-6 6-3 7-6(3),3,R32,126,14,4,95,63,47,15,15,1,4,0,7,97,53,39,21,14,3,5
2009-451,Doha,Hard,32,A,20090105,11,P624,,,Philipp Petzschner,R,185,GER,24.786,66,1212,CA12,,,Jeremy Chardy,R,188,FRA,21.897,74,1106,7-6(2) 6-3,3,R32,88,4,3,64,35,31,18,11,5,6,5,2,70,48,30,12,10,2,4
