tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1988-354,Wellington,Hard,32,A,19871228,1,L026,,,David Lewis,R,180,NZL,23.316,402,,S101,1,,Jonas Svensson,R,188,SWE,21.185,30,,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,2,E025,2,,Kelly Evernden,R,175,NZL,26.267,36,,P043,,,Jerome Potier,L,180,FRA,25.446,119,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,3,F040,3,,John Frawley,R,173,AUS,22.483,42,,G043,,,Bob Green,R,193,USA,27.759,560,,6-3 4-6 8-6,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,4,C031,4,,Andrei Chesnokov,R,188,RUS,21.9,52,,M338,,,Shuzo Matsuoka,R,185,JPN,20.142,260,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,5,W019,5,,Tim Wilkison,L,180,USA,28.096,55,,T021,,,Magnus Tideman,R,193,SWE,24.72,255,,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,6,K024,6,,Ramesh Krishnan,R,170,IND,26.563,58,,V037,,,Alexander Volkov,L,188,RUS,20.821,104,,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,7,B021,7,,Jeremy Bates,R,180,GBR,25.525,89,,F033,,,Marc Flur,R,191,USA,25.555,124,,2-6 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,8,D005,8,,Marty Davis,R,183,USA,29.117,96,,L013,,,Rick Leach,L,188,USA,22.998,148,,5-7 6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,9,C009,,,Omar Camporese,R,188,ITA,19.639,283,,S340,,,Roger Smith,R,185,BAH,23.937,146,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,10,D022,,,Bruce Derlin,L,180,NZL,26.081,205,,C246,,,Andrew Castle,R,191,GBR,24.118,176,,6-3 2-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,11,D049,,,Broderick Dyke,L,180,AUS,26.99,120,,O009,,,Andrei Olhovskiy,R,185,RUS,21.703,232,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,12,O015,,,Menno Oosting,R,180,NED,23.614,152,,S321,,,Brett Steven,R,185,NZL,18.669,556,,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,13,P048,,,Chris Pridham,R,183,CAN,22.713,114,,M064,,,Glenn Michibata,R,175,CAN,25.541,178,,6-2 0-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,14,R042,,,John Ross,R,185,USA,23.828,101,,B322,,,Chris Bailey,R,196,GBR,19.663,352,,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,15,S042,,,Steve Shaw,R,191,GBR,24.988,162,,G055,,,Steve Guy,R,188,NZL,28.789,231,,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,16,W029,,,Todd Witsken,R,183,USA,24.148,158,,V011,,,Huub Van Boeckel,R,191,NED,27.923,207,,4-6 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,17,E025,2,,Kelly Evernden,R,175,NZL,26.267,36,,C009,,,Omar Camporese,R,188,ITA,19.639,283,,6-3 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,18,O015,,,Menno Oosting,R,180,NED,23.614,152,,F040,3,,John Frawley,R,173,AUS,22.483,42,,6-3 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1988-354,Wellington,Hard,32,A,19871228,19,C031,4,,Andrei Chesnokov,R,188,RUS,21.9,52,,D049,,,Broderick Dyke,L,180,AUS,26.99,120,,5-7 6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
