tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1976-580,Australian Open,Grass,64,G,19751226,1,R075,1,,Ken Rosewall,R,175,AUS,41.147,6,385,B309,,,Geoff Brown,R,,AUS,,,,6-3 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,2,L025,,,Richard Lewis,L,,GBR,21.054,203,11,T078,,,John Trickey,R,,AUS,,371,1,1-6 6-7 7-5 2-1 RET,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,3,B106,,,Syd Ball,R,188,AUS,25.919,123,77,R068,,,Grover Raz Reid,R,,USA,24.331,124,59,6-2 7-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,4,C228,,,William Coghlan,R,,AUS,,371,1,B123,,,John Bartlett,R,188,AUS,27.775,170,21,3-6 2-6 6-3 6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,5,S148,,,Allan Stone,R,,AUS,30.198,39,182,M050,,,Paul McNamee,R,178,AUS,21.12,,,7-6 6-0 7-6,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,6,D040,,,Brad Drewett,L,185,AUS,17.437,,,E037,,,Harald Elschenbroich,R,,GER,34.519,84,81,6-1 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,7,L036,,,John Lloyd,R,178,GBR,21.331,96,91,C080,,,Bob Carmichael,R,183,AUS,35.477,70,130,7-5 6-4 4-6 6-1,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,8,A060,,,Mal Anderson,R,,AUS,40.816,371,1,M136,,,John Marks,R,,AUS,23.044,,,3-6 6-4 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,9,S060,,,Stan Smith,R,193,USA,29.032,20,316,L062,,,Cliff Letcher,R,,AUS,23.877,170,21,7-6 6-2 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,10,J029,,,John James,R,183,AUS,24.805,150,26,R069,,,Robert Rheinberger,R,,AUS,30.103,178,21,6-1 6-1 6-0,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,11,C093,,,Dick Crealy,R,,AUS,31.269,56,223,S059,,,Jonathan Smith,R,188,GBR,20.906,,,6-4 7-5 7-6,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,12,K105,,,Teimuraz Kakulia,R,,RUS,,,,M106,,,Gianni Marchetti,R,,ITA,19.466,371,1,6-4 6-0 4-6 6-7 6-1,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,13,D074,,,Phil Dent,R,183,AUS,25.862,33,290,S052,,,Russell Simpson,R,188,NZL,21.84,181,18,6-4 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,14,E005,,,Mark Edmondson,R,185,AUS,21.506,221,8,F011,,,Peter Feigl,R,183,AUT,24.071,,,1-6 6-4 6-7 6-4 6-1,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,15,F066,,,Brian Fairlie,R,,NZL,27.535,65,75,G070,,,Alvin Gardiner,R,,AUS,24.871,150,26,4-6 6-4 6-1 6-1,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,16,S248,,,Frank Sedgman,R,,AUS,48.233,282,3,W100,,,Steven Wright,R,,AUS,,,,6-4 6-2 6-3,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,17,G074,,,Bob Giltinan,R,,AUS,26.719,88,54,D042,,,Robin Drysdale,R,,GBR,23.269,207,10,6-2 3-6 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,18,R076,,,Ray Ruffels,R,,AUS,29.76,120,60,V038,,,Enzo Vattuone,R,,ITA,,,,6-1 6-4 7-5,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,19,H101,,,Patrice Hagelauer,R,188,FRA,27.973,315,2,C124,,,Scott Clark,R,,NZL,,,,4-6 6-1 6-4 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,20,M139,,,Geoff Masters,R,,AUS,25.268,44,184,C079,,,Peter Campbell,R,,AUS,25.125,,,7-6 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,21,M137,,,Ulrich Marten,R,,GER,19.984,207,10,S062,,,Joao Soares,R,185,BRA,24.671,236,6,7-6 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,22,W006,,,Kim Warwick,R,183,AUS,23.715,49,158,K044,,,Chris Kachel,R,,AUS,20.52,160,25,6-3 3-6 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,23,L138,,,Trevor Little,R,,AUS,,,,M051,,,Peter McNamara,R,185,AUS,20.476,212,9,6-1 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,24,R073,,,Tony Roche,L,178,AUS,30.609,11,279,Z012,,,Werner Zirngibl,R,,GER,19.307,250,5,6-3 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,25,D140,,,William Durham,R,,AUS,,371,1,E066,,,Ernie Ewert,R,,AUS,21.558,207,10,6-3 7-5 3-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,26,P072,,,Charlie Pasarell,R,,USA,31.869,63,124,D076,,,Colin Dibley,R,188,AUS,31.266,96,98,6-3 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,27,C072,,,David Carter,R,183,AUS,19.68,371,1,B187,,,Glenn Busby,R,,AUS,,,,6-2 6-3 3-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,28,C020,,,Ross Case,R,,AUS,24.151,27,302,H136,,,Keith Hancock,R,,AUS,,,,6-3 4-6 6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,29,L024,,,Chris Lewis,R,180,NZL,18.798,,,W079,,,Gerard Wimmer,R,,AUT,22.82,371,1,6-1 6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,30,M118,,,Raymond Moore,R,183,RSA,29.339,62,188,T096,,,Graeme Thomson,R,,AUS,,282,3,6-2 6-3 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,31,K099,,,Jan Kukal,R,,CZE,33.284,,,E072,,,Ulf Eriksson,R,,SWE,,371,1,7-5 7-5 7-5,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,32,N044,2,,John Newcombe,R,183,AUS,31.592,21,187,G007,,,Rolf Gehring,R,185,GER,20.085,183,17,7-6 6-1 7-6,5,R64,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,33,R075,1,,Ken Rosewall,R,175,AUS,41.147,6,385,L025,,,Richard Lewis,L,,GBR,21.054,203,11,6-2 6-1 6-1,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,34,B106,,,Syd Ball,R,188,AUS,25.919,123,77,C228,,,William Coghlan,R,,AUS,,371,1,6-2 6-4 6-7 6-3,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,35,D040,,,Brad Drewett,L,185,AUS,17.437,,,S148,,,Allan Stone,R,,AUS,30.198,39,182,6-3 6-4 4-6 7-5,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,36,A060,,,Mal Anderson,R,,AUS,40.816,371,1,L036,,,John Lloyd,R,178,GBR,21.331,96,91,7-5 6-4 4-6 7-5,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,37,S060,,,Stan Smith,R,193,USA,29.032,20,316,J029,,,John James,R,183,AUS,24.805,150,26,7-5 4-6 5-7 6-1 6-3,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,38,C093,,,Dick Crealy,R,,AUS,31.269,56,223,K105,,,Teimuraz Kakulia,R,,RUS,,,,7-6 6-3 6-1,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,39,E005,,,Mark Edmondson,R,185,AUS,21.506,221,8,D074,,,Phil Dent,R,183,AUS,25.862,33,290,6-0 6-4 4-6 6-3,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,40,F066,,,Brian Fairlie,R,,NZL,27.535,65,75,S248,,,Frank Sedgman,R,,AUS,48.233,282,3,6-4 6-2 6-1,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,41,R076,,,Ray Ruffels,R,,AUS,29.76,120,60,G074,,,Bob Giltinan,R,,AUS,26.719,88,54,6-4 7-6 6-4,5,R32,,,,,,,,,,,,,,,,,,,
1976-580,Australian Open,Grass,64,G,19751226,42,H101,,,Patrice Hagelauer,R,188,FRA,27.973,315,2,M139,,,Geoff Masters,R,,AUS,25.268,44,184,6-4 6-1 4-6 5-7 7-6,5,R32,,,,,,,,,,,,,,,,,,,
