tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1970-580,Australian Open,Grass,64,G,19700119,1,C171,,,John Cooper,R,,AUS,23.209,126,1,W347,,,Ray Wilson,R,,AUS,,,,W/O,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,2,K099,,,Jan Kukal,R,,CZE,27.351,48,10,H133,,,Anthony Hammond,R,,AUS,,,,6-4 12-10,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,3,S259,,,Lenny Schloss,R,,USA,,174,0.5,P187,,,Geoff Pollard,R,,AUS,36.003,,,7-5 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,4,W117,,,Mathias Werren,R,,SUI,25.697,,,A060,,,Mal Anderson,R,,AUS,34.883,42,9.5,W/O,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,5,S296,,,Ken Stuart,R,,USA,,,,M281,,,Allan McDonald,R,,AUS,18.888,,,7-5 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,6,K047,,,Ray Keldie,R,,AUS,24.005,89,5.5,S303,,,Allen Shapter,R,,AUS,28.205,,,8-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,7,G070,,,Alvin Gardiner,R,,AUS,18.938,174,0.5,R077,,,D. Richard Russell,R,,JAM,24.364,99,5,6-4 10-8 12-10,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,8,B227,,,John Brown,R,,AUS,29.522,101,2.5,D079,,,Peter Doerner,R,,AUS,19.173,126,1,9-7 0-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,9,G078,,,Tom Gorman,R,180,USA,23.086,90,5,B106,,,Syd Ball,R,188,AUS,19.986,,,6-1 6-1,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,10,P078,,,Barry Phillips-Moore,R,173,AUS,32.531,65,6,D076,,,Colin Dibley,R,188,AUS,25.333,,,6-3 8-10 6-4,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,11,S248,,,Frank Sedgman,R,,AUS,42.3,,,P313,,,Bernard Paul,R,,FRA,,174,0.5,6-4 3-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,12,M139,,,Geoff Masters,R,,AUS,19.335,,,C087,,,Karl Coombes,R,180,AUS,22.092,,,6-4 7-5,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,13,Z023,,,Vladimir Zednik,R,,CZE,22.965,86,3.5,B123,,,John Bartlett,R,188,AUS,21.843,126,1,17-19 6-3 6-2,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,14,G074,,,Bob Giltinan,R,,AUS,20.786,116,1.5,M144,,,Jim McManus,L,175,USA,29.342,64,11.5,4-6 9-7 6-3,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,15,D074,,,Phil Dent,R,183,AUS,19.929,70,8,B269,,,Rod Brent,R,,AUS,,126,1,6-4 6-3,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,16,N043,,,Armistead Neely,R,,USA,22.839,126,1,B254,,,Ian Bidmeade,R,,AUS,,,,,5,R64,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,17,R073,1,,Tony Roche,L,178,AUS,24.676,2,216.5,C171,,,John Cooper,R,,AUS,23.209,126,1,8-6 11-9 6-4,5,R32,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,18,B124,15,,Gerald Battrick,R,178,GBR,22.65,85,6.5,K099,,,Jan Kukal,R,,CZE,27.351,48,10,2-6 6-3 2-6 6-0 6-4,5,R32,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,19,T050,8,,Roger Taylor,L,,GBR,28.266,32,44.5,S259,,,Lenny Schloss,R,,USA,,174,0.5,6-4 6-3 6-4,5,R32,,,,,,,,,,,,,,,,,,,
1970-580,Australian Open,Grass,64,G,19700119,20,L045,9,,Robert Lutz,R,180,USA,22.393,15,41.5,W117,,,Mathias Werren,R,,SUI,25.697,,,6-1 6-3 6-1,5,R32,,,,,,,,,,,,,,,,,,,
