tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1984-301,Auckland,Hard,32,A,O,19840109,1,L024,1,,Chris Lewis,R,180,NZL,26.836,24,520,D036,,,Peter Doohan,R,191,AUS,22.689,275,34,6-3 6-7 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,2,H033,2,,Chip Hooper,R,198,USA,25.21,52,319,M066,,,Craig A Miller,R,188,AUS,21.227,247,45,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,3,M030,3,,Wally Masur,R,180,AUS,20.66,73,228,D022,,,Bruce Derlin,L,180,NZL,22.114,218,56,4-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,4,A014,4,,John Alexander,R,191,AUS,32.517,65,270,S045,,,Leif Shiras,R,183,USA,24.386,144,81,7-6 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,5,D040,5,,Brad Drewett,L,185,AUS,25.476,66,256,B077,,,Mike Brunnberg,R,191,USA,25.684,336,21,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,6,S052,6,,Russell Simpson,R,188,NZL,29.878,102,114,D049,,,Broderick Dyke,L,180,AUS,23.023,151,84,3-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,7,S081,7,,Larry Stefanki,R,178,USA,26.464,109,107,F039,,,Rod Frawley,R,180,AUS,31.335,163,92,7-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,8,B066,8,,Lloyd Bourne,R,191,USA,25.227,122,133,E033,,,Rand Evett,R,,USA,29.859,284,32,3-6 6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,9,A022,,,Vijay Amritraj,R,193,IND,30.07,148,86,V007,,,Jerome Vanier,L,175,FRA,26.185,194,63,7-6 4-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,10,B070,,,Sean Brawley,R,178,USA,23.209,165,72,L026,,,David Lewis,R,180,NZL,19.348,363,18,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,11,F040,,,John Frawley,R,173,AUS,18.516,168,77,M097,,,David Mustard,L,180,NZL,24.03,175,85,7-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,12,G055,,,Steve Guy,R,188,NZL,24.821,493,7,A053,,,John Austin,R,193,USA,26.442,182,66,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,13,J016,,,Peter Johnston,L,178,AUS,23.606,230,51,B021,,,Jeremy Bates,R,180,GBR,21.558,248,41,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,14,M122,,,Bill Maze,R,,USA,27.915,714,2,L027,,,Mark Lewis,R,,NZL,,519,6,6-1 1-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,15,N013,,,Todd Nelson,R,185,USA,22.812,203,59,Y002,,,Simon Youl,R,185,AUS,18.524,153,77,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,16,S008,,,Danny Saltz,R,193,USA,22.445,389,15,S059,,,Jonathan Smith,R,188,GBR,28.945,267,36,6-1 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,17,L024,1,,Chris Lewis,R,180,NZL,26.836,24,520,F040,,,John Frawley,R,173,AUS,18.516,168,77,3-6 7-6 8-6,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,18,H033,2,,Chip Hooper,R,198,USA,25.21,52,319,M122,,,Bill Maze,R,,USA,27.915,714,2,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,19,G055,,,Steve Guy,R,188,NZL,24.821,493,7,M030,3,,Wally Masur,R,180,AUS,20.66,73,228,6-3 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,20,A014,4,,John Alexander,R,191,AUS,32.517,65,270,B070,,,Sean Brawley,R,178,USA,23.209,165,72,6-7 6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,21,D040,5,,Brad Drewett,L,185,AUS,25.476,66,256,A022,,,Vijay Amritraj,R,193,IND,30.07,148,86,7-6 4-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,22,S052,6,,Russell Simpson,R,188,NZL,29.878,102,114,J016,,,Peter Johnston,L,178,AUS,23.606,230,51,7-6 4-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,23,S081,7,,Larry Stefanki,R,178,USA,26.464,109,107,N013,,,Todd Nelson,R,185,USA,22.812,203,59,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,24,S008,,,Danny Saltz,R,193,USA,22.445,389,15,B066,8,,Lloyd Bourne,R,191,USA,25.227,122,133,6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,25,D040,5,,Brad Drewett,L,185,AUS,25.476,66,256,L024,1,,Chris Lewis,R,180,NZL,26.836,24,520,W/O,3,QF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,26,H033,2,,Chip Hooper,R,198,USA,25.21,52,319,S052,6,,Russell Simpson,R,188,NZL,29.878,102,114,6-2 2-6 6-4,3,QF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,27,S081,7,,Larry Stefanki,R,178,USA,26.464,109,107,A014,4,,John Alexander,R,191,AUS,32.517,65,270,5-7 6-3 6-2,3,QF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,28,S008,,,Danny Saltz,R,193,USA,22.445,389,15,G055,,,Steve Guy,R,188,NZL,24.821,493,7,3-6 7-5 6-4,3,QF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,29,H033,2,,Chip Hooper,R,198,USA,25.21,52,319,S081,7,,Larry Stefanki,R,178,USA,26.464,109,107,6-4 6-3,3,SF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,30,S008,,,Danny Saltz,R,193,USA,22.445,389,15,D040,5,,Brad Drewett,L,185,AUS,25.476,66,256,7-6 7-6,3,SF,,,,,,,,,,,,,,,,,,,
1984-301,Auckland,Hard,32,A,O,19840109,31,S008,,,Danny Saltz,R,193,USA,22.445,389,15,H033,2,,Chip Hooper,R,198,USA,25.21,52,319,4-6 6-3 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,
1984-D018,Davis Cup AME QF: CHI vs COL,Clay,4,D,,19840113,1,G015,,,Hans Gildemeister,R,180,CHI,27.926,139,85,J020,,,Alvaro Jordan,R,185,COL,22.012,785,1,6-2 4-6 4-6 6-0 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1984-D018,Davis Cup AME QF: CHI vs COL,Clay,4,D,,19840113,2,A002,,,Ricardo Acuna,R,175,CHI,25.999,112,148,G099,,,Rene Gomez,R,,COL,,,,6-2 6-2 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D018,Davis Cup AME QF: CHI vs COL,Clay,4,D,,19840113,3,A002,,,Ricardo Acuna,R,175,CHI,25.999,112,148,J020,,,Alvaro Jordan,R,185,COL,22.012,785,1,6-3 5-7 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1984-D018,Davis Cup AME QF: CHI vs COL,Clay,4,D,,19840113,4,F025,,,Alvaro Fillol,R,178,CHI,31.107,169,71,P019,,,Rubin Perczek,R,,COL,,,,7-5 7-5,3,RR,,,,,,,,,,,,,,,,,,,
1984-D022,Davis Cup G1 R1: CHN vs SRI,Hard,4,D,,19840113,1,S362,,,Liu Shuhua,R,,CHN,,,,F089,,,Arjun Fernando,R,,SRI,,,,4-6 6-2 8-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D022,Davis Cup G1 R1: CHN vs SRI,Hard,4,D,,19840113,2,W065,,,Wei You,R,,CHN,,,,110886,,,Frank Sebaratnam,,,SRI,,,,6-3 6-1 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1984-D022,Davis Cup G1 R1: CHN vs SRI,Hard,4,D,,19840113,3,F089,,,Arjun Fernando,R,,SRI,,,,S362,,,Liu Shuhua,R,,CHN,,,,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1984-D022,Davis Cup G1 R1: CHN vs SRI,Hard,4,D,,19840113,4,M100,,,Ke-Qin Ma,R,,CHN,,,,110887,,,Arjun Perera,,,SRI,,,,6-0 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1984-D041,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,,19840113,1,W048,,,Chang-Rung Wu,R,,TPE,,785,1,110882,,,Kelvin Ng,,,HKG,,,,6-2 6-3 5-7 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D041,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,,19840113,2,B275,,,Mark Bailey,R,,HKG,,,,L282,,,Chung-Hsing Liu,R,,TPE,,,,3-6 6-3 3-6 6-1 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1984-D041,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,,19840113,3,W048,,,Chang-Rung Wu,R,,TPE,,785,1,B275,,,Mark Bailey,R,,HKG,,,,6-4 5-7 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1984-D041,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,,19840113,4,110882,,,Kelvin Ng,,,HKG,,,,L282,,,Chung-Hsing Liu,R,,TPE,,,,6-3 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1984-D048,Davis Cup G2 R1: PAK vs MAS,Hard,4,D,,19840113,1,U021,,,Islam Ul Haq,R,,PAK,,,,110984,,,Selvarajoo Selvarajoo,,,MAS,,,,6-3 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D048,Davis Cup G2 R1: PAK vs MAS,Hard,4,D,,19840113,2,H325,,,Hameed UL Haq,R,,PAK,,,,M221,,,Adam Malik,R,193,MAS,16.679,,,6-1 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1984-D048,Davis Cup G2 R1: PAK vs MAS,Hard,4,D,,19840113,3,H325,,,Hameed UL Haq,R,,PAK,,,,110984,,,Selvarajoo Selvarajoo,,,MAS,,,,6-1 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D048,Davis Cup G2 R1: PAK vs MAS,Hard,4,D,,19840113,4,M527,,,Rashid Malik,R,,PAK,20.945,,,M221,,,Adam Malik,R,193,MAS,16.679,,,4-6 6-4 6-0,3,RR,,,,,,,,,,,,,,,,,,,
1984-D049,Davis Cup AME R1: VEN vs MEX,Hard,4,D,,19840113,1,M006,,,Francisco Maciel,R,185,MEX,19.535,266,37,M265,,,Fabio Mion-Bet,R,,VEN,,,,8-6 6-3 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1984-D049,Davis Cup AME R1: VEN vs MEX,Hard,4,D,,19840113,2,P023,,,Fernando Perez-Pascal,R,,MEX,,,,C210,,,Inaki Calvo,R,,VEN,,,,9-7 4-6 5-7 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1984-D049,Davis Cup AME R1: VEN vs MEX,Hard,4,D,,19840113,3,P023,,,Fernando Perez-Pascal,R,,MEX,,,,M265,,,Fabio Mion-Bet,R,,VEN,,,,5-7 6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1984-D049,Davis Cup AME R1: VEN vs MEX,Hard,4,D,,19840113,4,G025,,,Alfonso Gonzalez,R,,MEX,,350,19,C210,,,Inaki Calvo,R,,VEN,,,,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1984-D056,Davis Cup G1 R1: SIN vs PHI,Hard,4,D,,19840113,1,110976,,,Ody Gabriel,,,PHI,,,,110978,,,Albert Teo,,,SIN,,,,6-3 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D056,Davis Cup G1 R1: SIN vs PHI,Hard,4,D,,19840113,2,B168,,,Felix Barrientos,R,178,PHI,16.148,,,110979,,,Mahader Hassan,,,SIN,,,,8-6 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D056,Davis Cup G1 R1: SIN vs PHI,Hard,4,D,,19840113,3,B168,,,Felix Barrientos,R,178,PHI,16.148,,,110978,,,Albert Teo,,,SIN,,,,6-2 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1984-D056,Davis Cup G1 R1: SIN vs PHI,Hard,4,D,,19840113,4,111099,,,Antonio Del Rosario,,,PHI,,,,110979,,,Mahader Hassan,,,SIN,,,,7-5 6-0 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,1,F020,,,Wojtek Fibak,R,183,POL,31.472,42,273,G049,,,Tom Gullikson,L,180,USA,32.375,59,302,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,2,F030,,,Peter Fleming,R,196,USA,29.005,32,239,B074,,,Jimmy Brown,R,180,USA,18.738,44,317,6-4 5-7 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,3,F047,,,Eric Fromm,R,178,USA,25.574,71,217,D028,,,Mark Dickson,R,191,USA,24.126,68,267,2-6 7-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,4,G013,,,Sammy Giammalva Jr.,R,178,USA,20.835,66,255,D019,,,Steve Denton,R,188,USA,27.381,55,260,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,5,G016,,,Brad Gilbert,R,185,USA,22.456,62,341,L036,,,John Lloyd,R,178,GBR,29.407,77,144,7-6 5-7 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,6,G048,,,Tim Gullikson,R,180,USA,32.375,38,257,D037,,,Colin Dowdeswell,R,185,GBR,28.701,34,258,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,7,K019,,,Eric Korita,R,196,USA,21.027,54,185,E004,,,Stefan Edberg,R,188,SWE,18.01,61,178,6-7 6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,8,K023,,,Aaron Krickstein,R,183,USA,16.476,99,117,P012,,,David Pate,R,183,USA,21.771,140,87,7-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,9,M064,,,Glenn Michibata,R,175,CAN,21.613,86,135,B079,,,Fritz Buehning,R,196,USA,23.885,45,316,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,10,O006,,,Nduka Odizor,R,183,NGR,25.457,64,261,H072,,,Joe Heldmann,R,,USA,20.036,238,45,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,11,P032,,,Libor Pimek,R,196,BEL,20.474,57,228,H005,,,Rodney Harmon,R,188,USA,22.437,110,107,6-1 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,12,S051,,,Stefan Simonsson,R,175,SWE,24.049,58,287,S033,,,Florin Segarceanu,R,180,ROU,22.82,83,163,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,13,S065,,,Harold Solomon,R,168,USA,31.348,259,56,B023,,,Mike Bauer,R,188,USA,24.569,46,349,6-4 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,14,T014,,,Ben Testerman,L,185,USA,21.971,198,87,M056,,,Steve Meister,R,193,USA,25.758,88,155,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,15,V010,,,Vincent Van Patten,R,180,USA,26.267,103,180,P015,,,Victor Pecci,R,193,PAR,28.274,53,247,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,16,V008,,,Robert Van't Hof,R,193,USA,24.789,31,314,R037,,,Christophe Roger-Vasselin,R,188,FRA,26.543,49,282,5-7 6-0 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,17,L018,1,,Ivan Lendl,R,188,USA,23.88,1,1944,S051,,,Stefan Simonsson,R,175,SWE,24.049,58,287,6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,18,M047,2,,John McEnroe,L,180,USA,24.934,2,1559,F030,,,Peter Fleming,R,196,USA,29.005,32,239,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,19,N022,3,,Yannick Noah,R,193,FRA,23.682,5,1033,S065,,,Harold Solomon,R,168,USA,31.348,259,56,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,20,A031,4,,Jimmy Arias,R,175,USA,19.436,6,1058,F047,,,Eric Fromm,R,178,USA,25.574,71,217,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,21,G016,,,Brad Gilbert,R,185,USA,22.456,62,341,S017,5,,Bill Scanlon,R,185,USA,27.192,9,653,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,22,T014,,,Ben Testerman,L,185,USA,21.971,198,87,M038,7,,Gene Mayer,R,183,USA,27.784,11,562,6-7 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,23,T012,8,,Eliot Teltscher,R,178,USA,24.86,14,727,M064,,,Glenn Michibata,R,175,CAN,21.613,86,135,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,24,K022,9,,Johan Kriek,R,175,USA,25.802,15,596,V010,,,Vincent Van Patten,R,180,USA,26.267,103,180,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,25,F020,,,Wojtek Fibak,R,183,POL,31.472,42,273,M041,10,,Tim Mayotte,R,191,USA,23.472,16,548,3-6 6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,26,S058,11,,Tomas Smid,R,191,CZE,27.677,17,703,K023,,,Aaron Krickstein,R,183,USA,16.476,99,117,7-5 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,27,G048,,,Tim Gullikson,R,180,USA,32.375,38,257,G029,12,,Brian Gottfried,R,183,USA,31.989,21,466,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,28,K019,,,Eric Korita,R,196,USA,21.027,54,185,S097,13,,Henrik Sundstrom,R,188,SWE,19.899,22,487,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,29,G050,14,,Heinz Gunthardt,R,180,SUI,24.956,23,449,P032,,,Libor Pimek,R,196,BEL,20.474,57,228,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,30,D004,15,,Scott Davis,R,188,USA,21.407,25,405,G013,,,Sammy Giammalva Jr.,R,178,USA,20.835,66,255,7-5 2-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,31,L014,16,,Henri Leconte,L,185,FRA,20.556,29,429,O006,,,Nduka Odizor,R,183,NGR,25.457,64,261,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,32,W002,,,Butch Walts,R,193,USA,28.638,123,99,V008,,,Robert Van't Hof,R,193,USA,24.789,31,314,7-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,33,L018,1,,Ivan Lendl,R,188,USA,23.88,1,1944,G048,,,Tim Gullikson,R,180,USA,32.375,38,257,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,34,M047,2,,John McEnroe,L,180,USA,24.934,2,1559,D004,15,,Scott Davis,R,188,USA,21.407,25,405,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,35,N022,3,,Yannick Noah,R,193,FRA,23.682,5,1033,L014,16,,Henri Leconte,L,185,FRA,20.556,29,429,7-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,36,A031,4,,Jimmy Arias,R,175,USA,19.436,6,1058,G050,14,,Heinz Gunthardt,R,180,SUI,24.956,23,449,5-7 6-2 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1984-401,Philadelphia,Carpet,64,A,I,19840123,37,T012,8,,Eliot Teltscher,R,178,USA,24.86,14,727,K019,,,Eric Korita,R,196,USA,21.027,54,185,7-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,
