tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2015-339,Brisbane,Hard,28,A,20150104,1,MH30,,WC,John Millman,R,183,AUS,25.561,153,328,W522,,Q,Rhyne Williams,R,,USA,23.792,220,221,6-3 6-1,3,R32,65,6,2,44,24,19,14,8,1,1,3,4,50,31,20,5,8,1,5
2015-339,Brisbane,Hard,28,A,20150104,10,KD46,,WC,Thanasi Kokkinakis,R,,AUS,18.738,149,341,B747,8,,Julien Benneteau,R,185,FRA,33.043,25,1365,6-4 6-3,3,R32,75,9,1,52,30,25,14,10,1,2,5,3,52,33,23,7,9,1,4
2015-339,Brisbane,Hard,28,A,20150104,11,TA46,,,Bernard Tomic,R,193,AUS,22.207,53,797,Q927,,,Sam Querrey,R,198,USA,27.247,35,1090,7-5 7-6(5),3,R32,83,5,0,77,46,36,21,12,4,5,20,3,70,42,35,14,12,4,6
2015-339,Brisbane,Hard,28,A,20150104,12,J386,,,Steve Johnson,R,188,USA,25.032,37,999,ME05,,,Marinko Matosevic,R,194,AUS,29.41,77,657,2-6 7-6(0) 7-5,3,R32,136,14,3,95,58,45,24,16,4,6,10,5,106,68,51,19,16,3,4
2015-339,Brisbane,Hard,28,A,20150104,2,N289,,,Jarkko Nieminen,L,185,FIN,33.454,73,689,KB09,,Q,Denis Kudla,R,180,USA,22.385,123,440,4-6 6-1 6-4,3,R32,104,4,0,92,59,39,17,14,4,7,6,1,83,50,26,19,13,3,8
2015-339,Brisbane,Hard,28,A,20150104,3,D994,,WC,James Duckworth,R,183,AUS,22.957,125,430,SD32,6,,Gilles Simon,R,183,FRA,30.023,21,1730,6-2 6-2,3,R32,68,4,0,45,27,20,11,8,2,3,2,1,56,37,22,5,8,10,15
2015-339,Brisbane,Hard,28,A,20150104,4,CA12,,,Jeremy Chardy,R,188,FRA,27.896,31,1195,G806,,,Andrey Golubev,R,185,KAZ,27.458,72,691,6-4 6-4,3,R32,69,7,1,53,39,31,11,10,0,0,9,2,57,38,30,8,10,1,3
2015-339,Brisbane,Hard,28,A,20150104,5,K966,,,Martin Klizan,L,190,SVK,25.487,34,1094,M762,,,Jurgen Melzer,L,183,AUT,33.624,110,505,6-7(5) 7-6(6) 6-1,3,R32,144,9,4,130,79,55,27,16,6,8,4,4,95,62,40,19,15,4,8
2015-339,Brisbane,Hard,28,A,20150104,6,D801,7,,Alexandr Dolgopolov,R,180,UKR,26.16,23,1455,B884,,,Carlos Berlocq,R,183,ARG,31.921,71,700,6-2 6-3,3,R32,78,6,1,49,31,24,12,9,3,4,3,2,78,53,32,8,8,11,15
2015-339,Brisbane,Hard,28,A,20150104,7,K540,,Q,Lukasz Kubot,R,190,POL,32.641,177,282,A678,5,,Kevin Anderson,R,203,RSA,28.635,16,2080,7-6(3) 6-4,3,R32,110,6,5,78,51,35,14,11,3,5,12,3,76,43,30,17,11,4,7
2015-339,Brisbane,Hard,28,A,20150104,8,G940,,,Sam Groth,R,,AUS,27.214,85,586,H432,,,Lleyton Hewitt,R,180,AUS,33.862,84,595,6-3 6-2,3,R32,59,14,0,47,34,30,8,9,2,2,1,2,45,22,13,14,8,1,4
2015-339,Brisbane,Hard,28,A,20150104,9,K926,,,Mikhail Kukushkin,R,183,KAZ,27.028,69,705,CA99,,Q,Marius Copil,R,193,ROU,24.219,201,242,6-4 4-6 6-4,3,R32,113,3,1,84,56,42,16,15,1,3,17,2,89,56,46,15,15,3,6
2015-339,Brisbane,Hard,28,A,20150104,13,F324,1,,Roger Federer,R,185,SUI,33.41,2,9625,MH30,,WC,John Millman,R,183,AUS,25.561,153,328,4-6 6-4 6-3,3,R16,122,8,3,85,50,37,19,14,9,11,2,2,112,72,44,20,15,9,13
2015-339,Brisbane,Hard,28,A,20150104,14,D994,,WC,James Duckworth,R,183,AUS,22.957,125,430,N289,,,Jarkko Nieminen,L,185,FIN,33.454,73,689,4-6 7-6(5) 6-3,3,R16,123,16,3,114,66,51,24,16,7,9,5,0,92,60,45,19,15,4,6
2015-339,Brisbane,Hard,28,A,20150104,15,D875,4,,Grigor Dimitrov,R,188,BUL,23.641,11,3645,CA12,,,Jeremy Chardy,R,188,FRA,27.896,31,1195,3-6 6-4 7-6(8),3,R16,148,10,3,107,64,46,23,16,5,7,9,6,126,78,60,20,15,12,13
2015-339,Brisbane,Hard,28,A,20150104,16,K966,,,Martin Klizan,L,190,SVK,25.487,34,1094,D801,7,,Alexandr Dolgopolov,R,180,UKR,26.16,23,1455,1-6 7-6(6) 7-6(7),3,R16,147,4,5,116,73,46,18,15,5,10,16,2,103,68,51,19,16,1,4
2015-339,Brisbane,Hard,28,A,20150104,17,G940,,,Sam Groth,R,,AUS,27.214,85,586,K540,,Q,Lukasz Kubot,R,190,POL,32.641,177,282,6-4 6-7(2) 7-6(3),3,R16,148,21,2,111,80,62,19,17,2,2,14,5,112,75,58,22,17,6,7
2015-339,Brisbane,Hard,28,A,20150104,18,R975,3,,Milos Raonic,R,196,CAN,24.025,8,4440,K926,,,Mikhail Kukushkin,R,183,KAZ,27.028,69,705,6-3 6-4,3,R16,61,17,4,48,31,28,12,10,0,0,1,1,54,32,22,12,9,2,4
2015-339,Brisbane,Hard,28,A,20150104,19,TA46,,,Bernard Tomic,R,193,AUS,22.207,53,797,KD46,,WC,Thanasi Kokkinakis,R,,AUS,18.738,149,341,7-6(2) 6-1,3,R16,79,8,1,72,51,38,12,10,0,0,7,3,61,32,23,14,9,3,5
2015-339,Brisbane,Hard,28,A,20150104,20,N552,2,,Kei Nishikori,R,178,JPN,25.018,5,5025,J386,,,Steve Johnson,R,188,USA,25.032,37,999,6-4 7-5,3,R16,81,7,1,67,45,34,16,11,2,2,6,1,61,33,24,17,11,1,3
2015-339,Brisbane,Hard,28,A,20150104,21,F324,1,,Roger Federer,R,185,SUI,33.41,2,9625,D994,,WC,James Duckworth,R,183,AUS,22.957,125,430,6-0 6-1,3,QF,41,12,2,30,21,19,6,6,0,0,0,1,38,25,8,4,7,2,8
2015-339,Brisbane,Hard,28,A,20150104,22,D875,4,,Grigor Dimitrov,R,188,BUL,23.641,11,3645,K966,,,Martin Klizan,L,190,SVK,25.487,34,1094,6-3 6-4,3,QF,73,7,2,57,34,26,12,10,1,3,3,1,53,37,24,5,9,1,5
2015-339,Brisbane,Hard,28,A,20150104,23,R975,3,,Milos Raonic,R,196,CAN,24.025,8,4440,G940,,,Sam Groth,R,,AUS,27.214,85,586,7-6(5) 3-6 7-6(2),3,QF,121,15,2,96,65,53,19,16,4,5,22,1,98,74,58,17,17,0,0
