tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2023-9900,United Cup,Hard,18,A,O,20230102,1,GH92,,,Borna Gojo,R,196,CRO,24.846,144,381,CE77,,,Federico Coria,R,180,ARG,30.817,75,695,7-6(5) 6-4,3,RR,97,6,3,66,47,37,10,11,0,0,0,0,81,50,37,15,11,3,4
2023-9900,United Cup,Hard,18,A,O,20230102,2,CG80,8,,Borna Coric,R,188,CRO,26.133,26,1685,C0AU,17,,Francisco Cerundolo,R,185,ARG,24.389,30,1395,7-5 6-4,3,RR,128,4,2,81,51,37,12,11,8,10,2,1,70,50,31,8,11,5,9
2023-9900,United Cup,Hard,18,A,O,20230102,3,ME82,,,Adrian Mannarino,L,180,FRA,34.511,46,946,CE77,,,Federico Coria,R,180,ARG,30.817,75,695,6-1 6-0,3,RR,62,6,0,44,30,23,7,7,2,3,2,2,56,37,16,5,6,4,10
2023-9900,United Cup,Hard,18,A,O,20230102,4,RC91,6,,Arthur Rinderknech,R,196,FRA,27.447,44,952,C0AU,17,,Francisco Cerundolo,R,185,ARG,24.389,30,1395,6-4 6-2,3,RR,,2,1,64,43,30,11,9,0,0,1,3,57,37,22,10,9,4,7
2023-9900,United Cup,Hard,18,A,O,20230102,5,GH92,,,Borna Gojo,R,196,CRO,24.846,144,381,ME82,,,Adrian Mannarino,L,180,FRA,34.511,46,946,7-6(5) 3-6 7-6(5),3,RR,170,14,4,110,72,57,17,16,1,4,9,1,104,63,51,21,17,3,5
2023-9900,United Cup,Hard,18,A,O,20230102,6,CG80,8,,Borna Coric,R,188,CRO,26.133,26,1685,RC91,6,,Arthur Rinderknech,R,196,FRA,27.447,44,952,7-6(1) 7-6(2),3,RR,113,10,1,65,43,40,15,12,1,2,8,3,81,51,36,17,12,2,3
2023-9900,United Cup,Hard,18,A,O,20230102,7,MW75,,,Felipe Meligeni Alves,R,185,BRA,24.868,166,343,DC76,,,Viktor Durasovic,R,185,NOR,25.791,343,143,6-3 6-3,3,RR,87,5,0,59,41,31,11,9,1,1,11,5,73,41,28,11,9,3,6
2023-9900,United Cup,Hard,18,A,O,20230102,8,RH16,18,,Casper Ruud,R,183,NOR,24.03,3,5820,MJ08,11,,Thiago Monteiro,L,183,BRA,28.591,71,738,6-3 6-2,3,RR,71,8,1,49,36,24,8,9,2,4,2,5,41,27,16,3,8,1,6
2023-9900,United Cup,Hard,18,A,O,20230102,9,M0EJ,,,Lorenzo Musetti,R,185,ITA,20.835,23,1865,DC76,,,Viktor Durasovic,R,185,NOR,25.791,343,143,7-6(7) 6-3,3,RR,108,7,1,69,42,35,16,11,1,2,6,3,81,45,28,19,10,8,10
2023-9900,United Cup,Hard,18,A,O,20230102,10,BK40,5,,Matteo Berrettini,R,196,ITA,26.724,16,2375,RH16,18,,Casper Ruud,R,183,NOR,24.03,3,5820,6-4 6-4,3,RR,86,10,2,60,40,35,9,10,2,2,4,0,52,41,31,4,10,0,2
