tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1982-7308,Adelaide,Grass,32,A,19820104,1,E005,1,,Mark Edmondson,R,185,AUS,27.521,20,680,H001,,,Wayne Hampson,R,183,AUS,24.367,175,85,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,2,W006,2,,Kim Warwick,R,183,AUS,29.741,85,119,S141,,,Dave Siegler,R,,USA,20.597,145,91,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,3,A023,,,Andy Andrews,R,185,USA,23.009,235,44,L024,3,,Chris Lewis,R,180,NZL,24.824,33,438,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,4,M041,4,,Tim Mayotte,R,191,USA,21.421,25,326,D072,,,Jim Delaney,R,,USA,28.816,140,145,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,5,B066,,,Lloyd Bourne,R,191,USA,23.214,157,108,F028,5,,John Fitzgerald,R,183,AUS,21.018,56,318,6-2 6-7 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,6,J029,,,John James,R,183,AUS,30.831,291,33,W019,6,,Tim Wilkison,L,180,USA,22.116,64,269,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,7,K053,7,,Steve Krulevitz,R,175,USA,30.601,87,144,B106,,,Syd Ball,R,188,AUS,31.945,169,93,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,8,F039,8,,Rod Frawley,R,180,AUS,29.322,69,255,E006,,,Eddie Edwards,R,191,RSA,25.506,174,106,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,9,B077,,,Mike Brunnberg,R,191,USA,23.671,362,18,C085,,,Dale Collings,R,,AUS,26.053,168,78,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1982-7308,Adelaide,Grass,32,A,19820104,10,C072,,,David Carter,R,183,AUS,25.706,95,161,H020,,,Ron Hightower,R,185,USA,23.064,175,90,4-6 7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
