tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1977-D054,Davis Cup EUR PR: POL vs NOR,Clay,4,D,,19760924,1,N082,,,Tadeusz Nowicki,R,,POL,,,,H081,,,Per Hegna,R,,NOR,,164,21,6-3 6-3 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1977-D054,Davis Cup EUR PR: POL vs NOR,Clay,4,D,,19760924,2,F020,,,Wojtek Fibak,R,183,POL,24.142,15,540,A0EI,,,Olav Abrahamsen,,,NOR,18.642,,,6-0 6-0 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1977-D054,Davis Cup EUR PR: POL vs NOR,Clay,4,D,,19760924,3,N082,,,Tadeusz Nowicki,R,,POL,,,,A0EI,,,Olav Abrahamsen,,,NOR,18.642,,,6-2 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1977-D054,Davis Cup EUR PR: POL vs NOR,Clay,4,D,,19760924,4,F020,,,Wojtek Fibak,R,183,POL,24.142,15,540,H081,,,Per Hegna,R,,NOR,,164,21,6-1 5-7 7-5 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1977-D058,Davis Cup AME PR: VEN vs USA,Hard,4,D,,19761112,1,S090,,,Dick Stockton,R,188,USA,25.733,15,509,A061,,,Jorge Andrew,R,180,VEN,25.029,146,49,6-2 6-4 9-7,5,RR,,,,,,,,,,,,,,,,,,,
1977-D058,Davis Cup AME PR: VEN vs USA,Hard,4,D,,19761112,2,G008,,,Vitas Gerulaitis,R,183,USA,22.3,20,247,H064,,,Humphrey Hose,R,,VEN,29.528,280,3,3-6 6-4 6-3 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-D058,Davis Cup AME PR: VEN vs USA,Hard,4,D,,19761112,3,H064,,,Humphrey Hose,R,,VEN,29.528,280,3,S090,,,Dick Stockton,R,188,USA,25.733,15,509,6-4 3-6 11-9 9-7,5,RR,,,,,,,,,,,,,,,,,,,
1977-D058,Davis Cup AME PR: VEN vs USA,Hard,4,D,,19761112,4,G008,,,Vitas Gerulaitis,R,183,USA,22.3,20,247,A061,,,Jorge Andrew,R,180,VEN,25.029,146,49,6-3 1-6 6-3 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1977-D036,Davis Cup WG QF: INA vs THA,,4,D,,19761210,1,W084,,,Gondo Widjojo,R,,INA,,,,125695,,,Chana Techasen,,,THA,,,,6-1 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1977-D036,Davis Cup WG QF: INA vs THA,,4,D,,19761210,2,T128,,,Justedjo Tarik,R,,INA,,,,125696,,,Somporn Champisri,,,THA,,,,6-3 6-4 3-6 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1977-D036,Davis Cup WG QF: INA vs THA,,4,D,,19761210,3,110989,,,Ludi Wijono,,,INA,,,,125697,,,Prasert Kaiman,,,THA,,,,7-5 3-6 8-6 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1977-D036,Davis Cup WG QF: INA vs THA,,4,D,,19761210,4,SE43,,,Samudra Sangitan,,,INA,,,,125695,,,Chana Techasen,,,THA,,,,6-2 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1977-D003,Davis Cup AME QF: BRA vs ARG,Clay,4,D,,19761217,1,K036,,,Thomaz Koch,L,,BRA,31.603,58,87,C010,,,Ricardo Cano,R,170,ARG,25.807,52,215,3-6 7-5 6-4 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1977-D003,Davis Cup AME QF: BRA vs ARG,Clay,4,D,,19761217,2,V028,,,Guillermo Vilas,L,180,ARG,24.334,6,819,K009,,,Carlos Kirmayr,R,173,BRA,26.234,118,55,10-8 6-1 RET,5,RR,,,,,,,,,,,,,,,,,,,
1977-D003,Davis Cup AME QF: BRA vs ARG,Clay,4,D,,19761217,3,V028,,,Guillermo Vilas,L,180,ARG,24.334,6,819,K036,,,Thomaz Koch,L,,BRA,31.603,58,87,4-6 6-1 6-2 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-D003,Davis Cup AME QF: BRA vs ARG,Clay,4,D,,19761217,4,C010,,,Ricardo Cano,R,170,ARG,25.807,52,215,K009,,,Carlos Kirmayr,R,173,BRA,26.234,118,55,3-6 6-2 6-0 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1977-D051,Davis Cup AME QF: USA vs MEX,Hard,4,D,,19761217,1,T006,,,Roscoe Tanner,L,183,USA,25.175,10,763,R065,,,Raul Ramirez,R,183,MEX,23.493,5,1188,7-5 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-D051,Davis Cup AME QF: USA vs MEX,Hard,4,D,,19761217,2,A063,,,Arthur Ashe,R,185,USA,33.44,12,575,C146,,,Roberto Chavez,R,,MEX,,311,2,6-4 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-D051,Davis Cup AME QF: USA vs MEX,Hard,4,D,,19761217,3,T006,,,Roscoe Tanner,L,183,USA,25.175,10,763,C146,,,Roberto Chavez,R,,MEX,,311,2,6-1 6-3 2-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1977-D051,Davis Cup AME QF: USA vs MEX,Hard,4,D,,19761217,4,R065,,,Raul Ramirez,R,183,MEX,23.493,5,1188,A063,,,Arthur Ashe,R,185,USA,33.44,12,575,6-3 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-D050,Davis Cup AME QF: MEX vs USA,Clay,4,D,,19761219,1,C044,,,Jimmy Connors,L,178,USA,24.296,1,1208,L057,,,Marcelo Lara,R,,MEX,29.207,168,25,6-2 6-1 3-6 4-6 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1977-D050,Davis Cup AME QF: MEX vs USA,Clay,4,D,,19761219,2,R065,,,Raul Ramirez,R,183,MEX,23.499,5,1188,G029,,,Brian Gottfried,R,183,USA,24.895,11,804,6-1 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1977-D050,Davis Cup AME QF: MEX vs USA,Clay,4,D,,19761219,3,G029,,,Brian Gottfried,R,183,USA,24.895,11,804,L057,,,Marcelo Lara,R,,MEX,29.207,168,25,3-6 6-2 3-6 8-6 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1977-D050,Davis Cup AME QF: MEX vs USA,Clay,4,D,,19761219,4,R065,,,Raul Ramirez,R,183,MEX,23.499,5,1188,C044,,,Jimmy Connors,L,178,USA,24.296,1,1208,2-6 6-3 6-3 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1977-810,Zurich,Hard,32,A,I,19761229,1,M157,1,,Juan Ignacio Muntanola,R,,ESP,,105,48,S241,,,Dimitri Sturdza,R,,SUI,38.136,311,2,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1977-810,Zurich,Hard,32,A,I,19761229,2,P080,2,,Nikola Pilic,L,,CRO,37.342,76,82,L741,,,Hans-Jurgen Lerke,,,GER,,,,6-4 6-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1977-810,Zurich,Hard,32,A,I,19761229,3,S146,3,,Nicola Spear,R,,SRB,32.851,149,46,G050,,,Heinz Gunthardt,R,180,SUI,17.889,206,13,3-6 6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1977-810,Zurich,Hard,32,A,I,19761229,4,G071,4,,Frank Gebert,R,,GER,24.55,129,40,S136,,,Louk Sanders,R,,NED,26.642,236,8,6-4 3-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1977-810,Zurich,Hard,32,A,I,19761229,5,D063,5,,Eric Deblicker,R,,FRA,24.701,137,46,SE13,,,Rolf Spitzer,,,SUI,26.374,,,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
