tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1985-301,Auckland,Hard,32,A,O,19850107,1,F028,1,,John Fitzgerald,R,183,AUS,24.027,29,,B032,,,Kelvin Belcher,R,185,USA,23.299,195,,2-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,2,L036,2,,John Lloyd,R,178,GBR,30.366,37,,L022,,,Brian Levine,R,183,RSA,26.385,188,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,3,S045,3,,Leif Shiras,R,183,USA,25.383,61,,L026,,,David Lewis,R,180,NZL,20.345,517,,3-6 6-2 8-6,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,4,S008,,,Danny Saltz,R,193,USA,23.441,155,,C022,4,,Dan Cassidy,R,178,USA,23.693,76,,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,5,D040,5,,Brad Drewett,L,185,AUS,26.472,80,,B010,,,Russell Barlow,L,173,AUS,22.056,385,,2-6 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,6,D036,6,,Peter Doohan,R,191,AUS,23.685,84,,D022,,,Bruce Derlin,L,180,NZL,23.11,135,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,7,L024,7,,Chris Lewis,R,180,NZL,27.833,101,,G055,,,Steve Guy,R,188,NZL,25.818,268,,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,8,M030,8,,Wally Masur,R,180,AUS,21.656,106,,M097,,,David Mustard,L,180,NZL,25.027,168,,4-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,9,D049,,,Broderick Dyke,L,180,AUS,24.019,292,,S059,,,Jonathan Smith,R,188,GBR,29.941,182,,6-7 6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,10,E025,,,Kelly Evernden,R,175,NZL,23.296,255,,L038,,,Mark Long,R,,NZL,,741,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,11,L010,,,Glenn Layendecker,L,185,USA,23.666,176,,J016,,,Peter Johnston,L,178,AUS,24.602,250,,2-6 6-1 9-7,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,12,M043,,,Scott McCain,R,180,USA,26.979,146,,S074,,,Cary Stansbury,R,196,USA,26.226,334,,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,13,M055,,,Karl Meiler,R,178,GER,35.691,180,,W037,,,Mark Wooldridge,R,188,USA,22.505,164,,2-6 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,14,M066,,,Craig A Miller,R,188,AUS,22.223,191,,F003,,,Michael Fancutt,R,191,AUS,23.88,494,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,15,S009,,,Howard Sands,R,173,USA,22.921,170,,C011,,,Jonathan Canter,R,185,USA,19.595,239,,3-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,16,T033,,,Jeff Turpin,R,188,USA,24.654,156,,A009,,,Richard Akel,L,,USA,22.902,517,,4-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,17,F028,1,,John Fitzgerald,R,183,AUS,24.027,29,,M055,,,Karl Meiler,R,178,GER,35.691,180,,6-0 4-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,18,L010,,,Glenn Layendecker,L,185,USA,23.666,176,,L036,2,,John Lloyd,R,178,GBR,30.366,37,,6-4 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,19,E025,,,Kelly Evernden,R,175,NZL,23.296,255,,S045,3,,Leif Shiras,R,183,USA,25.383,61,,6-7 6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,20,D040,5,,Brad Drewett,L,185,AUS,26.472,80,,S009,,,Howard Sands,R,173,USA,22.921,170,,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,21,D036,6,,Peter Doohan,R,191,AUS,23.685,84,,M066,,,Craig A Miller,R,188,AUS,22.223,191,,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1985-301,Auckland,Hard,32,A,O,19850107,22,L024,7,,Chris Lewis,R,180,NZL,27.833,101,,M043,,,Scott McCain,R,180,USA,26.979,146,,6-1 6-4,3,R16,,,,,,,,,,,,,,,,,,,
