tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1992-7308,Adelaide,Hard,32,A,19911230,1,I034,1,,Goran Ivanisevic,L,193,CRO,20.296,16,,K181,,,Nicklas Kulti,R,190,SWE,20.69,80,,6-3 6-3,3,R32,59,12,3,58,33,27,13,9,3,3,2,1,49,34,23,6,9,0,3
1992-7308,Adelaide,Hard,32,A,19911230,2,P235,,,Stefano Pescosolido,R,185,ITA,20.548,65,,A031,,,Jimmy Arias,R,175,USA,27.37,63,,6-2 7-6(2),3,R32,95,2,1,59,37,25,14,10,2,4,4,3,91,65,39,9,10,8,12
1992-7308,Adelaide,Hard,32,A,19911230,3,M012,,,Amos Mansdorf,R,175,ISR,26.193,62,,D227,,Q,Grant Doyle,R,180,AUS,17.971,730,,3-6 7-6(5) 6-4,3,R32,120,4,1,87,59,42,18,15,4,8,3,4,113,68,45,22,16,8,12
1992-7308,Adelaide,Hard,32,A,19911230,4,R214,,,Marc Rosset,R,201,SUI,21.144,60,,C270,8,,Cristiano Caratti,R,178,ITA,21.602,42,,3-6 6-3 6-3,3,R32,91,5,1,71,49,39,14,13,2,3,0,3,80,49,34,16,14,1,4
1992-7308,Adelaide,Hard,32,A,19911230,5,V014,,,Christo Van Rensburg,R,185,RSA,29.185,68,,S015,3,,Javier Sanchez,R,178,ESP,23.91,32,,7-5 6-7(4) 7-6(5),3,R32,140,8,11,111,71,61,20,18,4,5,2,2,118,95,65,15,18,5,7
1992-7308,Adelaide,Hard,32,A,19911230,6,G108,,,Rodolphe Gilbert,L,183,FRA,23.047,92,,P045,,,Gianluca Pozzi,L,180,ITA,26.535,76,,6-3 3-6 7-6(5),3,R32,125,4,4,90,48,36,16,15,1,6,3,5,96,42,28,27,15,5,10
1992-7308,Adelaide,Hard,32,A,19911230,7,B305,,,Karsten Braasch,L,180,GER,24.463,146,,L206,,,Magnus Larsson,R,193,SWE,21.766,61,,6-2 6-4,3,R32,66,4,1,51,28,24,14,9,1,1,0,1,62,36,21,14,9,5,8
1992-7308,Adelaide,Hard,32,A,19911230,8,S380,,,Bryan Shelton,R,185,USA,26.021,72,,M099,5,,Thomas Muster,L,180,AUT,24.244,35,,6-3 4-6 7-6(1),3,R32,111,6,4,88,53,44,20,15,0,1,2,1,93,62,41,22,16,2,4
1992-7308,Adelaide,Hard,32,A,19911230,9,S080,6,,Carl-Uwe Steeb,L,180,GER,24.329,38,,F192,,,Renzo Furlan,R,175,ITA,21.621,52,,6-1 6-4,3,R32,84,2,3,62,33,25,18,9,6,6,2,1,57,36,24,9,8,4,7
1992-7308,Adelaide,Hard,32,A,19911230,10,S443,,WC,Sandon Stolle,R,193,AUS,21.465,156,,Z045,,,Markus Zoecke,R,196,GER,23.639,57,,6-7(3) 6-2 6-4,3,R32,139,9,5,99,61,47,18,15,5,6,3,6,96,57,42,19,15,12,16
1992-7308,Adelaide,Hard,32,A,19911230,11,E113,,Q,Thomas Enqvist,R,190,SWE,17.799,231,,F236,,Q,Axel Finnberg,R,,GER,20.736,398,,3-6 6-1 6-2,3,R32,102,11,4,72,38,31,18,12,1,2,3,9,90,45,28,21,12,4,8
1992-7308,Adelaide,Hard,32,A,19911230,12,S055,4,,Horst Skoff,R,175,AUT,23.354,33,,L030,,Q,Carl Limberger,R,170,AUS,27.932,211,,6-3 6-3,3,R32,78,2,1,58,30,17,18,9,7,9,3,2,61,40,23,7,9,3,8
1992-7308,Adelaide,Hard,32,A,19911230,13,D015,7,,Olivier Delaitre,R,170,FRA,24.58,39,,T135,,LL,Arne Thoms,R,188,GER,20.994,165,,6-7(2) 6-3 6-2,3,R32,128,4,6,106,53,37,34,15,4,4,2,5,108,71,51,14,14,6,9
1992-7308,Adelaide,Hard,32,A,19911230,14,W035,,,Mark Woodforde,L,188,AUS,26.267,88,,S331,,,Jason Stoltenberg,R,185,AUS,21.739,75,,6-2 7-6(3),3,R32,80,3,5,68,49,38,11,10,2,2,2,3,69,39,28,15,10,4,6
1992-7308,Adelaide,Hard,32,A,19911230,15,B040,,,Christian Bergstrom,R,180,SWE,24.449,44,,Y002,,LL,Simon Youl,R,185,AUS,26.497,140,,6-3 6-4,3,R32,77,0,1,69,56,36,7,10,8,10,0,4,57,36,22,9,9,4,8
1992-7308,Adelaide,Hard,32,A,19911230,16,F028,,WC,John Fitzgerald,R,183,AUS,31.003,205,,S381,2,,Jan Siemerink,L,183,NED,21.711,26,,6-2 7-6(3),3,R32,76,2,5,73,51,34,13,10,3,5,4,6,70,35,21,15,10,3,7
1992-7308,Adelaide,Hard,32,A,19911230,17,I034,1,,Goran Ivanisevic,L,193,CRO,20.296,16,,P235,,,Stefano Pescosolido,R,185,ITA,20.548,65,,6-4 6-3,3,R16,73,6,1,45,24,20,17,9,0,0,4,2,75,33,22,22,10,8,11
1992-7308,Adelaide,Hard,32,A,19911230,18,R214,,,Marc Rosset,R,201,SUI,21.144,60,,M012,,,Amos Mansdorf,R,175,ISR,26.193,62,,3-6 6-3 6-2,3,R16,93,9,2,75,45,32,18,13,3,5,4,3,85,53,34,15,13,4,8
1992-7308,Adelaide,Hard,32,A,19911230,19,G108,,,Rodolphe Gilbert,L,183,FRA,23.047,92,,V014,,,Christo Van Rensburg,R,185,RSA,29.185,68,,6-4 6-3,3,R16,76,2,1,57,36,29,14,10,2,2,6,4,53,32,23,11,9,6,8
1992-7308,Adelaide,Hard,32,A,19911230,20,S380,,,Bryan Shelton,R,185,USA,26.021,72,,B305,,,Karsten Braasch,L,180,GER,24.463,146,,7-6(5) 6-3,3,R16,77,4,5,73,42,31,17,11,3,5,5,2,57,27,22,15,10,0,3
1992-7308,Adelaide,Hard,32,A,19911230,21,S080,6,,Carl-Uwe Steeb,L,180,GER,24.329,38,,S443,,WC,Sandon Stolle,R,193,AUS,21.465,156,,4-6 6-2 6-3,3,R16,104,3,0,87,61,41,19,14,3,4,4,3,78,47,31,16,13,4,7
1992-7308,Adelaide,Hard,32,A,19911230,22,E113,,Q,Thomas Enqvist,R,190,SWE,17.799,231,,S055,4,,Horst Skoff,R,175,AUT,23.354,33,,6-3 1-6 6-3,3,R16,124,2,12,103,52,29,23,13,9,15,9,2,74,38,21,18,12,5,11
1992-7308,Adelaide,Hard,32,A,19911230,23,D015,7,,Olivier Delaitre,R,170,FRA,24.58,39,,W035,,,Mark Woodforde,L,188,AUS,26.267,88,,6-4 6-4,3,R16,90,1,4,56,29,21,18,10,0,1,4,6,79,37,20,23,10,11,14
1992-7308,Adelaide,Hard,32,A,19911230,24,B040,,,Christian Bergstrom,R,180,SWE,24.449,44,,F028,,WC,John Fitzgerald,R,183,AUS,31.003,205,,6-2 6-2,3,R16,60,2,0,46,38,30,4,8,1,1,1,1,47,20,12,11,8,7,11
1992-7308,Adelaide,Hard,32,A,19911230,25,I034,1,,Goran Ivanisevic,L,193,CRO,20.296,16,,R214,,,Marc Rosset,R,201,SUI,21.144,60,,6-4 7-6(4),3,QF,72,4,3,94,67,41,14,11,8,10,8,2,63,37,26,13,11,3,6
1992-7308,Adelaide,Hard,32,A,19911230,26,S380,,,Bryan Shelton,R,185,USA,26.021,72,,G108,,,Rodolphe Gilbert,L,183,FRA,23.047,92,,7-5 6-4,3,QF,86,7,3,72,44,33,17,11,1,1,0,3,70,38,24,20,11,1,3
