"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"110886","Frank Sebaratnam","Frank Sebaratnam",,,,,"","","","","SRI"
"110887","Arjun Perera","Arjun Perera",,,,,"","","","","SRI"
"110890","Lionel Kemajou","Lionel Kemajou",,,,,"","","","","CMR"
"110892","Katore Agnamba","Katore Agnamba",,,,,"","","","","TOG"
"110893","Mensah Gbeboume","Mensah Gbeboume",,,,,"","","","","TOG"
"110894","Koko Kunkel","Koko Kunkel",,,,,"","","","","TOG"
"110895","Abdel Majid Soudani","Abdel Majid Soudani",,,,,"","","","","TUN"
"110896","Hassan Soudani","Hassan Soudani",,,,,"","","","","TUN"
"110898","Clive Wilson","Clive Wilson",,,,,"","","","","ZIM"
"110900","Jean-Yves Job","Jean-Yves Job",,,,,"","","","","CMR"
"110901","Samson Ahinakwa","Samson Ahinakwa",,,,,"","","","","GHA"
"110902","Khaled Ezankouli","Khaled Ezankouli",,,,,"","","","","LBA"
"110903","Zacharie Moungnol","Zacharie Moungnol",,,,,"","","","","CMR"
"110904","Abdul Hakim Jteli","Abdul Hakim Jteli",,,,,"","","","","LBA"
"110905","Fred Kangwa","Fred Kangwa",,,,,"","","","","ZAM"
"110906","Luc Ondobo","Luc Ondobo",,,,,"","","","","CMR"
"110907","Pierre Moudourou","Pierre Moudourou",,,,,"","","","","CMR"
"110908","Jerry Williams","Jerry Williams",,,,,"","","","","ECA"
"110909","Fabio Sical","Fabio Sical",,,,,"","","","","GUA"
"110911","Kenneth Thome Bolanos","Kenneth Thome Bolanos",,,,,"","","","","CRC"
"110912","Wilfredo Henry Torriente","Wilfredo Henry Torriente",,,,,"","","","","CUB"
"110913","Marinos Baghdatis","Marinos Baghdatis",,,,,"","","","","CYP"
"110914","Robert Dolan","Robert Dolan",,,,,"","","","","IRL"
"110915","Loucas Christophides","Loucas Christophides",,,,,"","","","","CYP"
"110916","Neoclis Neocleous","Neoclis Neocleous",,,,,"","","","","CYP"
"110924","Carlos Chavez","Carlos Chavez",,,,,"","","","","GUA"
"110925","Orville Adams","Orville Adams",,,,,"","","","","TRI"
"110926","Mark Webster","Mark Webster",,,,,"","","","","TRI"
"110927","Ricardo Pazmino","Ricardo Pazmino",,,,,"","","","","ECU"
"110931","Stefan Kinsch","Stefan Kinsch",,,,,"","","","","LUX"
"110932","Denis Galea","Denis Galea",,,,,"","","","","MLT"
"110941","Karim Afifi","Karim Afifi",,,,,"","","","","EGY"
"110942","Hichem Bramly","Hichem Bramly",,,,,"","","","","TUN"
"110949","Meir Wertheimer","Meir Wertheimer",,,,,"","","","","ISR"
"110950","Kristian Tammivuori","Kristian Tammivuori",,,,,"","","","","FIN"
"110960","Kenneth Dowuona","Kenneth Dowuona",,,,,"","","","","GHA"
"110961","Emmanuel Paddi","Emmanuel Paddi",,,,,"","","","","GHA"
"110962","Midodji Segbeaya","Midodji Segbeaya",,,,,"","","","","TOG"
"110963","Ioannis Kabakoglou","Ioannis Kabakoglou",,,,,"","","","","GRE"
"110966","Shoukry Srourian","Shoukry Srourian",,,,,"","","","","SYR"
"110970","Ali Al Zubaidi","Ali Al Zubaidi",,,,,"","","","","IRQ"
"110971","Youssef Hassan","Youssef Hassan",,,,,"","","","","IRQ"
"110972","Kian Wah Yeo","Kian Wah Yeo",,,,,"","","","","MAS"
"110973","Khairuddin Baharom","Khairuddin Baharom",,,,,"","","","","MAS"
"110974","Mulari Dharan","Mulari Dharan",,,,,"","","","","MAS"
"110976","Ody Gabriel","Ody Gabriel",,,,,"","","","","PHI"
"110977","Chi Yuen Pang","Chi Yuen Pang",,,,,"","","","","HKG"
"110978","Albert Teo","Albert Teo",,,,,"","","","","SIN"
"110979","Mahader Hassan","Mahader Hassan",,,,,"","","","","SIN"
"110980","Melvin Pereira","Melvin Pereira",,,,,"","","","","SIN"
"110983","Hadiman Hadiman","Hadiman Hadiman",,19501129,,,"","","","","INA"
