tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1995-7308,Adelaide,Hard,32,250,O,19950102,1,K267,1,,Yevgeny Kafelnikov,R,191,RUS,20.871,11,,O098,,,Marcos Ondruska,R,183,RSA,22.04,98,,7-6(5) 6-1,3,R32,82,5,1,57,22,17,23,9,0,1,5,4,75,48,31,11,10,11,15
1995-7308,Adelaide,Hard,32,250,O,19950102,2,H191,,,Henrik Holm,R,183,SWE,26.363,67,,P226,,,Cedric Pioline,R,188,FRA,25.55,51,,6-2 6-2,3,R32,70,4,8,59,28,22,17,8,7,7,1,5,55,30,19,9,8,7,11
1995-7308,Adelaide,Hard,32,250,O,19950102,3,B021,,,Jeremy Bates,R,180,GBR,32.539,77,,R273,,,Joern Renzenbrink,R,196,GER,22.461,92,,6-4 4-6 6-4,3,R32,101,1,4,84,43,30,23,15,0,3,9,9,86,48,34,19,15,3,7
1995-7308,Adelaide,Hard,32,250,O,19950102,4,W035,8,,Mark Woodforde,L,188,AUS,29.276,43,,G252,,,Marc-Kevin Goellner,R,196,GER,24.279,79,,6-4 6-4,3,R32,67,9,2,53,30,26,12,10,0,1,4,8,66,28,21,17,10,3,6
1995-7308,Adelaide,Hard,32,250,O,19950102,5,C243,3,,Jim Courier,R,185,USA,24.378,13,,H025,,Q,Jakob Hlasek,R,188,SUI,30.138,70,,7-6(2) 6-1,3,R32,82,2,2,65,36,26,16,9,5,6,4,6,71,42,25,11,10,3,7
1995-7308,Adelaide,Hard,32,250,O,19950102,6,V141,,,Daniel Vacek,R,191,CZE,23.756,45,,O099,,,Alex O'Brien,R,185,USA,24.824,105,,6-4 5-7 6-4,3,R32,132,9,9,94,62,46,16,16,3,5,2,3,124,76,52,26,16,13,16
1995-7308,Adelaide,Hard,32,250,O,19950102,7,E113,,,Thomas Enqvist,R,191,SWE,20.808,59,,A177,,Q,David Adams,R,188,RSA,24.991,147,,6-4 6-3,3,R32,132,9,9,94,62,46,16,16,3,5,2,3,124,76,52,26,16,13,16
1995-7308,Adelaide,Hard,32,250,O,19950102,8,S331,6,,Jason Stoltenberg,R,185,AUS,24.747,21,,K181,,Q,Nicklas Kulti,R,191,SWE,23.699,99,,7-5 6-3,3,R32,82,6,8,67,31,27,20,11,1,1,3,4,73,40,27,16,10,6,8
1995-7308,Adelaide,Hard,32,250,O,19950102,9,R255,5,,Patrick Rafter,R,185,AUS,22.012,20,,W136,,,Todd Woodbridge,R,178,AUS,23.754,90,,7-6(3) 6-1,3,R32,84,5,1,71,43,28,20,10,3,4,0,0,62,30,15,19,9,4,7
1995-7308,Adelaide,Hard,32,250,O,19950102,10,M408,,WC,Jamie Morgan,R,185,AUS,23.57,104,,B397,,,Byron Black,R,175,ZIM,25.24,66,,4-6 6-2 6-3,3,R32,90,12,0,82,44,33,23,14,4,6,2,4,65,37,27,15,13,2,6
1995-7308,Adelaide,Hard,32,250,O,19950102,11,F164,,,Richard Fromberg,R,196,AUS,24.682,58,,S403,,,Jonathan Stark,R,188,USA,23.751,65,,6-4 6-2,3,R32,62,12,3,49,31,26,12,9,0,0,1,2,58,38,25,9,9,5,8
1995-7308,Adelaide,Hard,32,250,O,19950102,12,K214,4,,Richard Krajicek,R,196,NED,23.075,17,,S424,,,Fabrice Santoro,R,178,FRA,22.064,46,,6-3 6-3,3,R32,64,6,1,48,26,23,14,9,2,2,1,4,63,31,18,19,9,4,7
1995-7308,Adelaide,Hard,32,250,O,19950102,13,F192,7,,Renzo Furlan,R,175,ITA,24.63,41,,P045,,,Gianluca Pozzi,L,180,ITA,29.544,93,,6-3 6-4,3,R32,68,4,0,52,26,20,17,10,2,4,2,1,59,30,19,13,9,5,9
1995-7308,Adelaide,Hard,32,250,O,19950102,14,B053,,,Arnaud Boetsch,R,183,FRA,25.755,53,,S380,,Q,Bryan Shelton,R,185,USA,29.029,85,,4-6 7-5 7-6(2),3,R32,149,1,6,127,73,54,26,17,10,12,6,8,118,74,52,22,17,13,15
1995-7308,Adelaide,Hard,32,250,O,19950102,15,S080,,,Carl-Uwe Steeb,L,180,GER,27.337,89,,M030,,WC,Wally Masur,R,180,AUS,31.641,137,,6-4 7-6(5),3,R32,90,1,1,65,41,33,17,11,1,1,9,2,85,39,29,25,11,5,6
1995-7308,Adelaide,Hard,32,250,O,19950102,16,D249,,,Hendrik Dreekmann,R,188,GER,19.926,64,,F196,2,,Wayne Ferreira,R,185,RSA,23.299,12,,7-6(6) 6-2,3,R32,86,4,2,70,39,27,18,10,3,5,4,6,75,36,24,18,10,8,12
1995-7308,Adelaide,Hard,32,250,O,19950102,17,K267,1,,Yevgeny Kafelnikov,R,191,RUS,20.871,11,,H191,,,Henrik Holm,R,183,SWE,26.363,67,,7-5 6-3,3,R16,73,3,0,58,38,33,9,11,0,1,11,12,75,42,35,6,10,9,12
1995-7308,Adelaide,Hard,32,250,O,19950102,18,W035,8,,Mark Woodforde,L,188,AUS,29.276,43,,B021,,,Jeremy Bates,R,180,GBR,32.539,77,,7-6(6) 6-4,3,R16,91,4,1,73,38,28,21,11,2,3,4,10,77,39,33,12,11,2,4
1995-7308,Adelaide,Hard,32,250,O,19950102,19,C243,3,,Jim Courier,R,185,USA,24.378,13,,V141,,,Daniel Vacek,R,191,CZE,23.756,45,,6-3 6-4,3,R16,69,1,3,65,45,30,12,10,2,3,4,6,55,32,21,11,9,0,3
1995-7308,Adelaide,Hard,32,250,O,19950102,20,E113,,,Thomas Enqvist,R,191,SWE,20.808,59,,S331,6,,Jason Stoltenberg,R,185,AUS,24.747,21,,6-4 6-4,3,R16,70,3,1,55,34,25,10,10,5,8,2,1,64,34,22,10,10,5,10
1995-7308,Adelaide,Hard,32,250,O,19950102,21,R255,5,,Patrick Rafter,R,185,AUS,22.012,20,,M408,,WC,Jamie Morgan,R,185,AUS,23.57,104,,7-6(2) 6-3,3,R16,94,5,5,68,43,35,15,11,0,0,4,4,76,44,33,14,10,4,5
1995-7308,Adelaide,Hard,32,250,O,19950102,22,K214,4,,Richard Krajicek,R,196,NED,23.075,17,,F164,,,Richard Fromberg,R,196,AUS,24.682,58,,7-5 7-5,3,R16,82,6,4,65,32,29,20,12,2,2,4,5,75,49,38,11,12,5,7
1995-7308,Adelaide,Hard,32,250,O,19950102,23,B053,,,Arnaud Boetsch,R,183,FRA,25.755,53,,F192,7,,Renzo Furlan,R,175,ITA,24.63,41,,6-3 7-5,3,R16,91,5,5,73,39,30,12,11,2,5,2,4,67,37,20,14,10,6,11
1995-7308,Adelaide,Hard,32,250,O,19950102,24,D249,,,Hendrik Dreekmann,R,188,GER,19.926,64,,S080,,,Carl-Uwe Steeb,L,180,GER,27.337,89,,7-6(2) 3-6 6-2,3,R16,108,7,3,80,34,26,21,14,2,7,3,4,84,52,27,17,15,3,9
1995-7308,Adelaide,Hard,32,250,O,19950102,25,W035,8,,Mark Woodforde,L,188,AUS,29.276,43,,K267,1,,Yevgeny Kafelnikov,R,191,RUS,20.871,11,,6-3 7-5,3,QF,96,6,4,67,30,23,20,11,1,3,1,5,91,56,33,14,10,8,12
1995-7308,Adelaide,Hard,32,250,O,19950102,26,C243,3,,Jim Courier,R,185,USA,24.378,13,,E113,,,Thomas Enqvist,R,191,SWE,20.808,59,,6-2 6-4,3,QF,68,2,1,56,38,28,9,9,1,2,3,3,57,36,23,7,9,6,10
1995-7308,Adelaide,Hard,32,250,O,19950102,27,K214,4,,Richard Krajicek,R,196,NED,23.075,17,,R255,5,,Patrick Rafter,R,185,AUS,22.012,20,,6-4 7-6(4),3,QF,78,10,5,80,39,35,21,11,5,5,9,0,69,42,31,17,11,4,5
1995-7308,Adelaide,Hard,32,250,O,19950102,28,B053,,,Arnaud Boetsch,R,183,FRA,25.755,53,,D249,,,Hendrik Dreekmann,R,188,GER,19.926,64,,6-3 6-4,3,QF,67,1,3,50,30,26,9,10,1,3,2,2,60,26,14,16,9,6,10
1995-7308,Adelaide,Hard,32,250,O,19950102,29,C243,3,,Jim Courier,R,185,USA,24.378,13,,W035,8,,Mark Woodforde,L,188,AUS,29.276,43,,6-3 6-4,3,SF,82,2,3,76,50,35,14,10,10,11,4,3,57,31,21,11,9,1,4
1995-7308,Adelaide,Hard,32,250,O,19950102,30,B053,,,Arnaud Boetsch,R,183,FRA,25.755,53,,K214,4,,Richard Krajicek,R,196,NED,23.075,17,,7-6(4) 6-2,3,SF,67,2,2,61,39,30,14,10,2,3,5,4,65,38,28,11,10,2,5
1995-7308,Adelaide,Hard,32,250,O,19950102,31,C243,3,,Jim Courier,R,185,USA,24.378,13,,B053,,,Arnaud Boetsch,R,183,FRA,25.755,53,,6-2 7-5,3,F,96,4,0,73,44,29,18,10,3,4,1,2,79,43,26,16,10,6,10
1995-451,Doha,Hard,32,250,O,19950102,1,E004,1,,Stefan Edberg,R,188,SWE,28.953,7,,A006,,,Ronald Agenor,R,180,HAI,30.136,71,,6-2 7-6(8),3,R32,89,1,6,69,36,26,18,10,3,5,4,1,66,49,30,7,10,2,6
1995-451,Doha,Hard,32,250,O,19950102,2,V166,,Q,Adrian Voinea,R,185,ROU,20.408,202,,T136,,,Jeff Tarango,L,180,USA,26.116,78,,6-7(4) 7-6(5) 6-3,3,R32,135,7,4,112,71,48,19,16,6,10,2,2,126,100,59,9,17,8,14
1995-451,Doha,Hard,32,250,O,19950102,3,E121,,WC,Younes El Aynaoui,R,193,MAR,23.307,117,,J084,,,Lars Jonsson,R,188,SWE,24.517,102,,2-6 6-4 7-6(4),3,R32,114,10,2,91,55,38,20,15,4,7,1,2,101,74,49,16,15,7,9
1995-451,Doha,Hard,32,250,O,19950102,4,A203,,,Karim Alami,R,185,MAR,21.61,88,,H223,7,,Paul Haarhuis,R,188,NED,28.868,37,,5-7 6-3 7-5,3,R32,138,5,6,104,49,42,25,16,4,6,7,5,112,59,44,26,17,9,13
1995-451,Doha,Hard,32,250,O,19950102,5,S015,,,Javier Sanchez,R,178,ESP,26.919,42,,E106,4,,Jacco Eltingh,R,188,NED,24.345,23,,3-6 6-2 6-3,3,R32,92,2,3,72,46,32,16,13,2,4,2,6,86,51,34,16,13,4,8
1995-451,Doha,Hard,32,250,O,19950102,6,B305,,,Karsten Braasch,L,180,GER,27.472,56,,N112,,Q,Sandor Noszaly,R,193,HUN,22.798,154,,3-6 6-3 6-2,3,R32,92,2,3,72,46,32,16,13,2,4,2,6,86,51,34,16,13,4,8
1995-451,Doha,Hard,32,250,O,19950102,7,D228,,Q,Filip Dewulf,R,191,BEL,22.801,134,,K030,,WC,Patrik Kuhnen,R,191,GER,28.89,189,,6-3 4-6 6-1,3,R32,97,5,3,76,44,37,17,13,2,3,9,8,94,58,39,13,13,6,10
1995-451,Doha,Hard,32,250,O,19950102,8,L014,,,Henri Leconte,L,185,FRA,31.499,94,,V037,5,,Alexander Volkov,L,188,RUS,27.836,25,,4-6 7-6(6) 7-5,3,R32,156,5,9,129,60,40,32,17,11,17,5,9,119,67,41,26,17,12,18
1995-451,Doha,Hard,32,250,O,19950102,9,Z045,,,Markus Zoecke,R,196,GER,26.648,57,,K190,6,,Bernd Karbacher,R,185,GER,26.749,26,,4-6 6-3 6-4,3,R32,123,9,7,91,53,41,22,15,6,7,6,3,90,40,31,28,14,5,7
1995-451,Doha,Hard,32,250,O,19950102,10,M338,,WC,Shuzo Matsuoka,R,185,JPN,27.157,124,,A176,,,Jan Apell,L,183,SWE,25.161,95,,7-6(3) 6-4,3,R32,91,9,3,64,45,32,9,11,2,5,0,2,84,50,26,20,11,4,8
1995-451,Doha,Hard,32,250,O,19950102,11,B446,,,Jonas Bjorkman,R,183,SWE,22.779,50,,M093,,,Alexander Mronz,R,188,GER,29.739,103,,7-5 6-2,3,R32,79,3,4,50,26,24,14,10,1,2,2,4,79,44,27,16,10,5,9
1995-451,Doha,Hard,32,250,O,19950102,12,L206,3,,Magnus Larsson,R,193,SWE,24.775,19,,K237,,,Karol Kucera,R,185,SVK,20.832,54,,6-1 6-4,3,R32,75,2,2,60,28,23,17,9,2,3,1,3,70,41,24,11,8,8,12
1995-451,Doha,Hard,32,250,O,19950102,13,F035,8,,Guy Forget,L,191,FRA,29.993,40,,M048,,,Patrick McEnroe,R,183,USA,28.507,72,,7-5 6-2,3,R32,83,14,2,63,34,29,15,10,2,3,1,2,56,33,19,12,10,2,6
1995-451,Doha,Hard,32,250,O,19950102,14,S381,,,Jan Siemerink,L,183,NED,24.72,81,,O009,,,Andrei Olhovskiy,R,185,RUS,28.717,97,,6-1 6-2,3,R32,60,1,0,47,32,25,10,8,1,1,0,2,55,31,13,13,7,8,12
